datetime,open,high,low,close,volume
2020-06-02 12:00:00,1240.0,1240.0,1240.0,1240.0,81
2020-06-02 12:45:00,1180.0,1180.0,1180.0,1180.0,680
2020-06-02 13:00:00,1066.35,1066.35,990.9,990.9,620
2020-06-02 13:30:00,990.9,990.9,990.9,990.9,40
2020-06-02 14:00:00,1123.7,1123.7,1123.7,1123.7,20
2020-06-02 14:30:00,1100.0,1132.4,1100.0,1132.4,220
2020-06-02 14:45:00,1109.95,1109.95,1100.0,1105.25,180
2020-06-02 15:00:00,1045.4,1065.65,1033.75,1033.75,60
2020-06-02 15:15:00,1056.1,1056.1,1056.1,1056.1,20
2020-06-03 09:15:00,830.0,830.0,789.1,789.1,141
2020-06-03 09:30:00,786.7,788.7,774.8,782.9,220
2020-06-03 09:45:00,798.1,839.8,789.9,789.9,260
2020-06-03 10:00:00,792.85,813.9,769.0,769.0,380
2020-06-03 10:15:00,779.6,788.55,770.5,788.55,120
2020-06-03 10:30:00,770.5,770.5,760.0,760.0,140
2020-06-03 10:45:00,760.0,760.0,760.0,760.0,20
2020-06-03 11:15:00,770.0,770.0,741.05,741.05,140
2020-06-03 11:30:00,745.0,745.0,742.1,742.1,40
2020-06-03 11:45:00,740.35,740.35,711.25,711.25,120
2020-06-03 12:00:00,707.15,726.35,707.15,720.7,140
2020-06-03 12:15:00,752.2,759.0,752.2,758.85,80
2020-06-03 12:30:00,741.25,754.7,739.0,754.7,100
2020-06-03 12:45:00,741.45,741.45,741.45,741.45,20
2020-06-03 13:00:00,765.0,765.0,733.6,733.6,80
2020-06-03 13:15:00,733.6,738.5,707.15,707.15,120
2020-06-03 13:30:00,670.9,690.1,670.9,680.0,140
2020-06-03 13:45:00,680.0,680.0,650.0,650.0,500
2020-06-03 14:00:00,650.0,670.0,650.0,650.0,100
2020-06-03 14:15:00,650.0,650.0,623.55,623.55,200
2020-06-03 14:30:00,602.0,681.6,594.1,681.6,260
2020-06-03 14:45:00,675.0,761.15,665.5,761.15,200
2020-06-03 15:00:00,780.0,820.0,780.0,804.0,140
2020-06-03 15:15:00,868.55,885.6,818.15,848.9,760
2020-06-03 15:30:00,850.0,852.0,845.0,845.0,100
2020-06-04 09:15:00,845.05,845.05,760.5,760.5,462
2020-06-04 09:30:00,760.5,887.95,760.5,887.95,700
2020-06-04 09:45:00,879.3,926.5,879.3,905.45,140
2020-06-05 09:15:00,904.0,941.1,890.55,890.55,181
2020-06-05 09:30:00,899.95,911.15,870.5,880.0,1340
2020-06-05 09:45:00,870.0,940.0,870.0,891.1,640
2020-06-05 10:00:00,883.8,974.3,881.5,974.3,1140
2020-06-05 10:15:00,965.85,1037.4,955.0,1037.4,300
2020-06-05 10:30:00,1050.0,1050.0,1000.0,1015.4,320
2020-06-05 10:45:00,1025.4,1050.5,1025.4,1050.5,120
2020-06-05 11:00:00,1010.55,1010.55,1004.7,1004.7,40
2020-06-05 11:15:00,941.4,976.3,941.4,955.4,160
2020-06-05 11:30:00,940.95,995.15,940.95,974.5,200
2020-06-05 11:45:00,974.15,974.15,944.55,970.0,140
2020-06-05 12:00:00,945.75,945.75,892.0,907.0,680
