datetime,open,high,low,close,volume
2020-08-24 09:15:00,7.65,13.5,6.8,9.2,66401
2020-08-24 09:30:00,9.3,9.4,7.6,8.65,35450
2020-08-24 09:45:00,8.75,8.95,7.15,8.05,41275
2020-08-24 10:00:00,8.1,8.35,6.7,7.7,22075
2020-08-24 10:15:00,7.75,7.75,7.15,7.3,3625
2020-08-24 10:30:00,7.3,7.65,7.15,7.4,5775
2020-08-24 10:45:00,7.45,7.9,7.4,7.85,9825
2020-08-24 11:00:00,7.85,9.5,7.85,8.6,31800
2020-08-24 11:15:00,8.6,8.75,8.05,8.25,19200
2020-08-24 11:30:00,8.45,8.7,8.05,8.7,14275
2020-08-24 11:45:00,8.7,22.1,8.7,16.2,154300
2020-08-24 12:00:00,16.05,18.3,13.9,13.9,79325
2020-08-24 12:15:00,14.0,18.6,13.8,14.85,97775
2020-08-24 12:30:00,14.9,15.75,13.3,13.95,29225
2020-08-24 12:45:00,13.75,15.05,13.2,13.7,33125
2020-08-24 13:00:00,14.25,14.65,11.8,12.2,49075
2020-08-24 13:15:00,12.2,12.4,9.7,10.05,36100
2020-08-24 13:30:00,10.1,11.2,10.05,10.5,39300
2020-08-24 13:45:00,10.55,11.1,9.25,10.7,49275
2020-08-24 14:00:00,10.7,11.7,10.65,11.1,28475
2020-08-24 14:15:00,11.1,16.7,10.9,15.35,105500
2020-08-24 14:30:00,15.0,15.0,11.9,12.65,46275
2020-08-24 14:45:00,12.7,15.4,11.0,11.3,79450
2020-08-24 15:00:00,11.15,13.0,10.45,12.2,78775
2020-08-24 15:15:00,12.2,15.0,11.85,15.0,102850
2020-08-25 09:15:00,10.5,23.8,10.5,21.35,286551
2020-08-25 09:30:00,21.4,21.95,16.0,17.8,167825
2020-08-25 09:45:00,17.8,19.5,15.8,16.15,158975
2020-08-25 10:00:00,16.05,19.4,15.3,15.85,116325
2020-08-25 10:15:00,15.8,16.25,15.15,16.05,60525
2020-08-25 10:30:00,16.15,16.55,11.8,12.5,237525
