datetime,open,high,low,close,volume
2022-06-09 09:30:00,1682.4,1682.4,1682.4,1682.4,26
2022-06-09 09:45:00,1674.15,1674.15,1644.55,1644.55,225
2022-06-09 12:30:00,1644.55,1644.55,1644.55,1644.55,25
2022-06-09 13:45:00,1747.2,1747.2,1747.2,1747.2,25
2022-06-09 14:00:00,1734.5,1734.5,1724.4,1724.4,125
2022-06-10 09:15:00,1619.05,1619.05,1545.15,1545.15,101
2022-06-10 09:30:00,1530.25,1530.25,1530.2,1530.2,275
2022-06-10 12:15:00,1505.3,1505.3,1505.3,1505.3,25
2022-06-10 13:00:00,1482.0,1482.0,1452.8,1452.8,125
2022-06-10 14:45:00,1409.75,1409.75,1404.0,1404.0,75
2022-06-10 15:15:00,1481.5,1481.5,1441.0,1441.0,50
2022-06-13 09:15:00,928.85,928.85,760.0,795.0,4326
2022-06-13 09:30:00,790.65,803.6,770.0,774.05,12300
2022-06-13 09:45:00,772.8,785.0,755.15,770.4,9125
2022-06-13 10:00:00,773.85,773.85,721.0,739.25,10550
2022-06-13 10:15:00,739.2,739.2,717.0,738.7,14075
2022-06-13 10:30:00,741.25,747.55,727.65,727.65,10375
2022-06-13 10:45:00,725.0,754.55,722.0,749.25,5150
2022-06-13 11:00:00,751.55,760.0,741.95,750.4,4475
2022-06-13 11:15:00,750.0,760.75,742.2,750.0,6625
2022-06-13 11:30:00,748.65,750.0,728.0,733.05,6450
2022-06-13 11:45:00,732.4,747.85,732.4,743.9,4100
2022-06-13 12:00:00,734.0,750.0,732.0,748.1,1475
2022-06-13 12:15:00,745.1,770.35,720.0,722.9,7025
2022-06-13 12:30:00,717.05,747.9,715.0,730.25,3000
2022-06-13 12:45:00,729.95,739.8,721.05,721.05,2000
2022-06-13 13:00:00,711.7,738.5,700.0,725.25,7700
2022-06-13 13:15:00,732.2,738.0,720.35,726.0,2425
2022-06-13 13:30:00,725.2,749.0,718.1,726.9,3925
2022-06-13 13:45:00,722.6,740.25,697.05,705.1,6725
2022-06-13 14:00:00,707.25,718.0,676.4,685.75,4375
2022-06-13 14:15:00,689.0,706.3,684.6,702.3,2925
2022-06-13 14:30:00,701.0,748.0,701.0,734.0,5250
2022-06-13 14:45:00,735.0,750.0,710.65,734.85,5150
2022-06-13 15:00:00,737.15,755.0,720.0,755.0,7525
2022-06-13 15:15:00,758.0,790.0,758.0,789.95,16375
2022-06-14 09:15:00,686.95,727.2,658.45,658.45,10776
2022-06-14 09:30:00,650.9,699.1,648.45,689.5,3975
2022-06-14 09:45:00,695.2,759.5,695.2,752.65,11250
2022-06-14 10:00:00,747.45,757.25,730.0,745.95,6850
2022-06-14 10:15:00,745.05,771.4,734.35,769.85,8650
2022-06-14 10:30:00,767.25,806.6,763.95,799.0,13075
2022-06-14 10:45:00,800.8,819.0,790.85,812.85,11350
2022-06-14 11:00:00,812.85,882.9,806.95,882.9,10675
2022-06-14 11:15:00,882.0,895.0,850.0,850.9,6300
2022-06-14 11:30:00,854.75,892.25,854.75,855.4,4625
2022-06-14 11:45:00,846.35,860.9,823.2,826.65,3600
2022-06-14 12:00:00,820.3,849.7,820.0,836.55,2175
2022-06-14 12:15:00,836.95,838.45,770.0,770.0,2925
2022-06-14 12:30:00,770.0,784.65,753.65,762.0,4250
2022-06-14 12:45:00,765.05,765.05,704.6,708.05,9025
2022-06-14 13:00:00,708.05,762.45,700.0,762.45,6250
2022-06-14 13:15:00,761.6,799.05,753.05,767.55,7175
2022-06-14 13:30:00,760.0,769.5,727.1,733.55,7775
2022-06-14 13:45:00,742.1,749.95,724.05,732.2,3850
2022-06-14 14:00:00,730.0,741.0,670.6,672.3,10500
2022-06-14 14:15:00,670.0,694.0,648.0,694.0,10825
