datetime,open,high,low,close,volume
2025-04-11 09:15:00,25.05,35.4,22.35,23.75,27780
2025-04-11 09:30:00,24.7,27.9,24.25,26.9,28380
2025-04-11 09:45:00,27.3,29.0,24.95,25.9,10320
2025-04-11 10:00:00,26.25,26.85,24.45,25.55,2670
2025-04-11 10:15:00,25.7,26.1,23.75,24.5,2280
2025-04-11 10:30:00,24.85,25.65,21.95,22.7,9120
2025-04-11 10:45:00,22.55,23.05,21.5,22.95,4380
2025-04-11 11:00:00,23.1,23.6,22.15,23.4,2640
2025-04-11 11:15:00,22.85,23.1,20.9,21.6,4680
2025-04-11 11:30:00,22.05,22.6,20.5,20.55,2520
2025-04-11 11:45:00,20.9,22.05,20.15,21.45,510
2025-04-11 12:00:00,22.15,22.65,19.35,22.65,8640
2025-04-11 12:15:00,21.85,22.0,21.15,22.0,4710
2025-04-11 12:30:00,21.5,22.05,21.45,21.45,1590
2025-04-11 12:45:00,21.95,22.0,21.0,21.6,720
2025-04-11 13:00:00,22.25,24.4,21.95,23.85,3420
2025-04-11 13:15:00,23.3,23.7,22.4,23.25,3360
2025-04-11 13:30:00,22.55,23.5,22.25,22.9,2490
2025-04-11 13:45:00,23.05,23.8,23.05,23.4,1140
2025-04-11 14:00:00,23.15,24.55,23.05,24.55,690
2025-04-11 14:15:00,25.3,25.3,24.0,24.6,1710
2025-04-11 14:30:00,23.9,24.45,23.8,24.25,2070
2025-04-11 14:45:00,24.4,25.0,24.0,24.4,4560
2025-04-11 15:00:00,25.15,28.8,23.6,28.55,8520
2025-04-11 15:15:00,28.0,31.4,23.75,25.95,38370
2025-04-11 15:30:00,25.95,25.95,25.95,25.95,30
2025-04-15 09:15:00,20.0,23.8,20.0,21.45,14880
2025-04-15 09:30:00,21.65,21.7,16.4,19.35,77640
2025-04-15 09:45:00,18.95,19.05,15.15,15.4,35370
2025-04-15 10:00:00,15.55,16.45,14.85,15.6,27390
2025-04-15 10:15:00,15.5,16.95,15.25,16.9,15030
2025-04-15 10:30:00,16.85,17.65,16.85,17.1,3180
2025-04-15 10:45:00,16.85,18.7,16.8,17.4,4980
2025-04-15 11:00:00,17.05,18.05,17.0,17.7,2040
2025-04-15 11:15:00,17.75,18.6,17.75,18.3,3570
2025-04-15 11:30:00,18.15,19.1,17.8,19.1,2550
2025-04-15 11:45:00,19.45,19.45,18.15,19.25,1530
2025-04-15 12:00:00,19.35,19.35,18.5,18.5,1500
2025-04-15 12:15:00,18.45,18.6,18.05,18.5,1290
2025-04-15 12:30:00,18.7,19.3,18.35,18.4,900
2025-04-15 12:45:00,17.85,18.3,17.7,17.7,180
2025-04-15 13:00:00,17.7,18.9,16.9,17.1,330
2025-04-15 13:15:00,17.1,17.7,17.0,17.05,2070
2025-04-15 13:30:00,17.2,17.45,16.75,16.75,660
2025-04-15 13:45:00,17.1,17.45,16.8,17.05,1020
