datetime,open,high,low,close,volume
2020-01-01 09:15:00,8.25,8.25,4.8,4.8,1195202
2020-01-01 09:30:00,4.8,5.6,4.75,5.2,817425
2020-01-01 09:45:00,5.2,6.35,5.1,5.3,686175
2020-01-01 10:00:00,5.35,6.6,5.3,6.25,631050
2020-01-01 10:15:00,6.2,6.45,5.1,5.35,473700
2020-01-01 10:30:00,5.4,6.1,5.3,5.65,349950
2020-01-01 10:45:00,5.7,7.7,5.7,6.65,780750
2020-01-01 11:00:00,6.65,7.25,6.0,7.1,648525
2020-01-01 11:15:00,7.05,7.55,6.55,7.05,408000
2020-01-01 11:30:00,7.0,7.45,6.35,7.15,361950
2020-01-01 11:45:00,7.1,7.5,6.85,7.05,316275
2020-01-01 12:00:00,7.05,7.15,5.4,5.8,768825
2020-01-01 12:15:00,5.8,6.85,4.6,6.85,777600
2020-01-01 12:30:00,6.9,8.0,6.35,6.75,777900
2020-01-01 12:45:00,6.7,6.8,5.8,6.05,409125
2020-01-01 13:00:00,6.0,7.0,5.95,6.8,275925
2020-01-01 13:15:00,6.8,7.05,5.15,5.55,717900
2020-01-01 13:30:00,5.6,6.2,5.0,5.65,541275
2020-01-01 13:45:00,5.75,5.9,4.25,5.1,1001850
2020-01-01 14:00:00,5.1,5.6,4.8,5.45,776925
2020-01-01 14:15:00,5.5,6.5,5.05,5.85,840075
2020-01-01 14:30:00,5.75,5.9,4.45,5.25,771450
2020-01-01 14:45:00,5.3,6.2,5.0,6.0,819525
2020-01-01 15:00:00,6.0,6.2,4.1,4.95,1656525
2020-01-01 15:15:00,4.9,4.95,3.5,3.5,1588050
2020-01-01 15:30:00,3.55,3.55,3.55,3.55,2325
2020-01-02 09:15:00,1.65,2.6,0.55,0.65,4293978
2020-01-02 09:30:00,0.6,0.65,0.5,0.5,1738275
2020-01-02 09:45:00,0.5,0.6,0.45,0.5,1026000
2020-01-02 10:00:00,0.5,0.5,0.35,0.35,761775
2020-01-02 10:15:00,0.35,0.4,0.3,0.3,506625
2020-01-02 10:30:00,0.35,0.35,0.25,0.35,719100
2020-01-02 10:45:00,0.3,0.35,0.25,0.25,326475
2020-01-02 11:00:00,0.3,0.3,0.25,0.25,113100
2020-01-02 11:15:00,0.3,0.3,0.2,0.2,369900
2020-01-02 11:30:00,0.2,0.25,0.2,0.25,219825
2020-01-02 11:45:00,0.2,0.25,0.15,0.25,581550
2020-01-02 12:00:00,0.2,0.25,0.15,0.15,247425
2020-01-02 12:15:00,0.2,0.2,0.15,0.15,261300
2020-01-02 12:30:00,0.2,0.2,0.15,0.15,224775
2020-01-02 12:45:00,0.2,0.2,0.1,0.15,281775
2020-01-02 13:00:00,0.1,0.15,0.1,0.1,156975
2020-01-02 13:15:00,0.1,0.15,0.1,0.1,99225
2020-01-02 13:30:00,0.1,0.15,0.1,0.1,58950
2020-01-02 13:45:00,0.15,0.15,0.1,0.15,102675
2020-01-02 14:00:00,0.15,0.15,0.05,0.1,384000
2020-01-02 14:15:00,0.05,0.1,0.05,0.05,93900
2020-01-02 14:30:00,0.1,0.1,0.05,0.05,203250
2020-01-02 14:45:00,0.1,0.1,0.05,0.1,253050
2020-01-02 15:00:00,0.1,0.1,0.05,0.1,254925
2020-01-02 15:15:00,0.1,0.1,0.05,0.05,156075
