datetime,open,high,low,close,volume
2020-03-30 15:15:00,555.05,555.05,555.05,555.05,75
2020-03-31 12:15:00,550.0,550.0,550.0,550.0,76
2020-03-31 14:45:00,620.55,620.55,620.55,620.55,75
2020-03-31 15:00:00,620.55,620.55,581.75,581.75,225
2020-03-31 15:15:00,568.75,570.0,563.95,563.95,225
2020-04-01 09:15:00,450.45,450.45,437.0,437.0,451
2020-04-01 09:30:00,415.6,420.0,407.25,407.25,1200
2020-04-01 09:45:00,395.0,395.0,371.35,380.0,750
2020-04-01 10:00:00,393.0,396.05,369.7,369.7,675
2020-04-01 10:15:00,369.7,369.7,369.7,369.7,75
2020-04-01 10:30:00,369.1,369.1,314.85,325.0,2250
2020-04-01 10:45:00,317.05,350.8,310.35,310.35,3225
2020-04-01 11:00:00,309.65,316.75,290.7,290.7,6225
2020-04-01 11:15:00,290.7,315.9,290.7,310.35,4350
2020-04-01 11:30:00,311.85,312.95,297.0,309.0,2850
2020-04-01 11:45:00,314.1,314.1,291.75,303.25,1425
2020-04-01 12:00:00,303.8,310.0,297.9,310.0,2025
2020-04-01 12:15:00,310.95,326.95,310.0,313.1,4125
2020-04-01 12:30:00,318.2,324.6,308.0,323.7,1575
2020-04-01 12:45:00,323.15,325.65,290.05,290.05,4425
2020-04-01 13:00:00,291.0,294.15,279.65,287.85,15600
2020-04-01 13:15:00,290.0,293.15,273.95,287.45,14775
2020-04-01 13:30:00,287.45,287.45,265.85,286.0,16725
2020-04-01 13:45:00,281.5,282.95,263.0,263.0,10650
2020-04-01 14:00:00,265.85,267.8,248.95,265.0,38100
2020-04-01 14:15:00,263.6,282.0,261.7,269.1,30525
2020-04-01 14:30:00,269.75,284.0,265.05,275.0,31200
2020-04-01 14:45:00,272.3,282.6,257.0,278.6,46125
2020-04-01 15:00:00,282.8,291.55,266.2,274.7,45075
2020-04-01 15:15:00,279.9,285.0,267.15,280.0,71700
2020-04-03 09:15:00,230.0,291.7,188.0,195.55,702376
2020-04-03 09:30:00,196.85,196.85,171.85,185.1,494400
2020-04-03 09:45:00,185.9,225.8,184.4,190.65,797550
2020-04-03 10:00:00,189.55,198.5,172.9,195.0,422400
2020-04-03 10:15:00,196.0,205.4,177.65,182.3,479625
2020-04-03 10:30:00,182.3,183.9,164.75,169.65,339600
2020-04-03 10:45:00,169.7,169.7,152.7,153.3,432675
2020-04-03 11:00:00,153.2,177.1,152.9,166.5,446550
2020-04-03 11:15:00,166.5,184.05,162.55,168.85,418200
2020-04-03 11:30:00,168.85,170.0,157.55,163.9,262425
2020-04-03 11:45:00,164.1,169.5,156.15,161.6,266925
2020-04-03 12:00:00,160.1,177.9,160.1,165.45,301050
2020-04-03 12:15:00,165.75,178.75,160.0,163.7,364125
2020-04-03 12:30:00,163.5,163.75,153.05,158.7,383400
2020-04-03 12:45:00,158.7,159.0,144.65,155.1,379275
2020-04-03 13:00:00,155.65,172.65,153.65,167.0,446250
2020-04-03 13:15:00,167.4,169.5,155.15,162.85,341850
2020-04-03 13:30:00,162.0,211.85,159.75,193.2,980850
2020-04-03 13:45:00,192.5,196.9,147.25,155.0,858750
2020-04-03 14:00:00,154.4,158.3,122.7,133.55,869325
2020-04-03 14:15:00,132.7,133.8,119.5,130.0,652050
2020-04-03 14:30:00,130.15,134.85,116.4,128.6,671250
2020-04-03 14:45:00,128.3,142.1,126.35,134.2,548850
2020-04-03 15:00:00,134.7,136.65,115.75,128.25,642900
2020-04-03 15:15:00,127.9,141.55,127.15,140.0,477600
2020-04-03 15:30:00,139.0,139.0,139.0,139.0,75
2020-04-07 09:15:00,304.95,304.95,231.4,236.05,460652
2020-04-07 09:30:00,239.7,300.0,234.9,294.0,237150
2020-04-07 09:45:00,295.9,297.45,276.45,281.0,95250
2020-04-07 10:00:00,281.0,294.8,260.0,264.3,107175
2020-04-07 10:15:00,264.45,276.35,243.6,273.8,158775
2020-04-07 10:30:00,276.3,286.0,253.9,282.0,89625
2020-04-07 10:45:00,278.0,292.1,270.25,282.0,46125
2020-04-07 11:00:00,280.7,369.0,278.55,356.1,225600
2020-04-07 11:15:00,362.0,393.3,362.0,386.35,154650
2020-04-07 11:30:00,392.1,393.3,363.4,389.85,42075
2020-04-07 11:45:00,389.4,406.6,377.0,384.0,50175
2020-04-07 12:00:00,389.15,401.0,377.6,395.15,21450
2020-04-07 12:15:00,391.4,430.95,390.0,429.8,33750
2020-04-07 12:30:00,428.6,473.9,428.25,473.9,48750
2020-04-07 12:45:00,476.65,487.15,448.0,456.45,27900
2020-04-07 13:00:00,456.0,503.8,440.0,492.2,39225
2020-04-07 13:15:00,495.15,518.9,487.4,489.25,17775
2020-04-07 13:30:00,488.25,559.7,478.0,556.65,18900
2020-04-07 13:45:00,555.9,618.0,542.0,616.9,90600
2020-04-07 14:00:00,614.6,622.0,560.9,592.0,28125
2020-04-07 14:15:00,589.15,612.85,567.6,585.75,65550
2020-04-07 14:30:00,586.45,630.25,586.15,623.55,23850
2020-04-07 14:45:00,621.7,653.9,610.0,642.1,46800
2020-04-07 15:00:00,644.8,690.0,631.35,682.0,99900
2020-04-07 15:15:00,675.65,678.15,648.45,670.8,42600
