datetime,open,high,low,close,volume
2020-03-12 09:15:00,48.45,51.85,29.85,30.6,1094027
2020-03-12 09:30:00,30.4,38.05,29.95,33.3,695325
2020-03-12 09:45:00,33.3,33.4,16.65,17.85,1043850
2020-03-12 10:00:00,18.0,19.6,11.55,16.75,1634475
2020-03-12 10:15:00,16.65,16.65,13.25,14.5,927525
2020-03-12 10:30:00,14.5,15.85,8.6,9.2,1164825
2020-03-12 10:45:00,9.2,9.3,5.35,5.85,2256375
2020-03-12 11:00:00,5.95,7.0,3.4,6.05,1409700
2020-03-12 11:15:00,6.05,7.25,4.35,5.35,725400
2020-03-12 11:30:00,5.4,6.5,2.65,2.75,1258350
2020-03-12 11:45:00,2.75,3.2,1.8,2.05,733950
2020-03-12 12:00:00,2.05,2.4,1.8,2.05,442200
2020-03-12 12:15:00,2.1,16.95,2.1,8.05,2080500
2020-03-12 12:30:00,7.9,8.7,3.8,5.6,728775
2020-03-12 12:45:00,5.65,6.4,3.2,3.35,612675
2020-03-12 13:00:00,3.45,4.15,2.5,3.1,428100
2020-03-12 13:15:00,3.1,3.2,2.0,2.5,351675
2020-03-12 13:30:00,2.45,3.2,2.0,2.3,480300
2020-03-12 13:45:00,2.3,2.45,0.75,0.85,775125
2020-03-12 14:00:00,0.85,0.85,0.45,0.5,736425
2020-03-12 14:15:00,0.55,0.55,0.35,0.45,302925
2020-03-12 14:30:00,0.5,0.55,0.3,0.4,216300
2020-03-12 14:45:00,0.45,0.5,0.2,0.25,128775
2020-03-12 15:00:00,0.2,0.5,0.1,0.25,397800
2020-03-12 15:15:00,0.2,0.3,0.05,0.05,273900
