datetime,open,high,low,close,volume
2020-06-11 09:15:00,201.25,211.0,184.15,192.0,161777
2020-06-11 09:30:00,192.55,216.0,188.8,204.0,190500
2020-06-11 09:45:00,204.5,207.55,195.05,201.6,48750
2020-06-11 10:00:00,202.95,214.0,202.0,206.05,65325
2020-06-11 10:15:00,206.3,208.45,201.6,203.15,26175
2020-06-11 10:30:00,207.5,208.75,187.65,192.7,90825
2020-06-11 10:45:00,192.35,192.35,180.0,187.55,74250
2020-06-11 11:00:00,185.35,185.35,171.65,173.0,118950
2020-06-11 11:15:00,172.3,179.6,163.9,174.75,145575
2020-06-11 11:30:00,174.65,178.1,167.55,174.9,72000
2020-06-11 11:45:00,172.8,179.75,168.45,169.9,57375
2020-06-11 12:00:00,170.0,176.25,163.65,171.0,69525
2020-06-11 12:15:00,172.75,173.75,157.0,165.0,143925
2020-06-11 12:30:00,165.35,165.35,152.0,153.3,179175
2020-06-11 12:45:00,152.55,162.45,151.45,158.65,160725
2020-06-11 13:00:00,159.25,180.95,156.35,165.0,208650
2020-06-11 13:15:00,165.0,169.1,151.05,151.75,165600
2020-06-11 13:30:00,151.7,157.75,145.0,152.65,282150
2020-06-11 13:45:00,153.0,161.4,144.0,145.3,188550
2020-06-11 14:00:00,145.05,148.05,128.8,130.0,497100
2020-06-11 14:15:00,130.35,130.95,109.95,114.15,660900
2020-06-11 14:30:00,114.2,120.0,105.4,109.75,484050
2020-06-11 14:45:00,110.0,115.55,109.1,113.9,308700
2020-06-11 15:00:00,113.05,114.1,100.0,104.05,446700
2020-06-11 15:15:00,104.5,113.5,103.45,112.0,630375
2020-06-12 09:15:00,32.8,50.85,32.8,46.05,3326852
2020-06-12 09:30:00,46.0,56.5,43.4,54.95,1618650
2020-06-12 09:45:00,54.95,55.0,45.0,48.75,1347825
2020-06-12 10:00:00,48.7,51.2,45.8,48.25,782325
2020-06-12 10:15:00,48.2,50.75,46.0,50.0,638400
2020-06-12 10:30:00,50.3,62.4,49.0,57.7,1507275
2020-06-12 10:45:00,57.8,58.0,53.2,53.85,853125
2020-06-12 11:00:00,53.65,57.15,45.8,49.95,1091850
2020-06-12 11:15:00,49.8,74.85,48.05,64.05,2389050
2020-06-12 11:30:00,64.35,70.45,58.4,65.4,1656525
2020-06-12 11:45:00,64.25,64.8,53.9,57.9,1234800
2020-06-12 12:00:00,58.05,62.1,56.15,57.35,696000
2020-06-12 12:15:00,57.5,59.45,50.8,52.55,919200
2020-06-12 12:30:00,52.4,59.45,49.1,59.15,1106475
2020-06-12 12:45:00,59.2,64.45,57.25,58.85,1228275
2020-06-12 13:00:00,58.95,61.55,54.5,56.55,886050
2020-06-12 13:15:00,56.45,65.45,54.8,60.7,1161825
2020-06-12 13:30:00,60.8,78.0,59.35,69.15,1740000
2020-06-12 13:45:00,69.35,99.0,68.65,87.75,3391200
2020-06-12 14:00:00,87.8,117.6,86.25,103.6,3284400
2020-06-12 14:15:00,104.0,127.25,104.0,112.45,2683125
2020-06-12 14:30:00,112.4,119.2,100.1,115.6,1860300
2020-06-12 14:45:00,115.65,136.9,113.3,124.4,2758650
2020-06-12 15:00:00,124.3,141.8,119.45,133.35,2288325
2020-06-12 15:15:00,133.4,136.95,118.05,118.6,1503300
2020-06-12 15:30:00,118.15,118.15,118.15,118.15,600
2020-06-15 09:15:00,90.0,94.85,70.0,80.8,4248302
2020-06-15 09:30:00,80.8,80.8,66.6,73.5,2444775
2020-06-15 09:45:00,73.8,81.95,68.7,70.2,1699500
2020-06-15 10:00:00,70.05,75.0,66.9,69.5,1173450
2020-06-15 10:15:00,69.25,69.25,57.9,59.5,1889925
2020-06-15 10:30:00,59.25,59.8,51.25,54.0,2000925
2020-06-15 10:45:00,53.9,56.05,49.3,50.8,1630950
2020-06-15 11:00:00,50.7,52.0,40.4,42.65,1704300
2020-06-15 11:15:00,42.7,43.55,38.7,40.35,1792050
2020-06-15 11:30:00,40.65,46.0,39.5,44.5,1872675
2020-06-15 11:45:00,44.3,46.0,39.5,41.4,1191375
2020-06-15 12:00:00,41.1,43.5,36.75,37.6,1262325
2020-06-15 12:15:00,37.5,39.7,36.5,39.2,1019550
2020-06-15 12:30:00,39.45,43.75,38.75,42.05,1338225
2020-06-15 12:45:00,41.65,45.9,38.8,42.4,1431825
2020-06-15 13:00:00,42.55,44.3,39.8,42.95,1014900
2020-06-15 13:15:00,43.4,49.15,42.05,48.05,1336800
2020-06-15 13:30:00,48.3,51.95,39.7,44.75,1866000
2020-06-15 13:45:00,44.7,51.2,42.0,49.55,1351200
2020-06-15 14:00:00,49.5,63.55,49.35,61.75,3762825
2020-06-15 14:15:00,62.0,76.15,61.45,73.9,3898575
2020-06-15 14:30:00,74.6,74.6,43.95,47.55,3885975
2020-06-15 14:45:00,47.55,68.55,47.55,67.55,3020250
2020-06-15 15:00:00,67.7,68.0,47.75,52.9,2841000
2020-06-15 15:15:00,53.2,56.3,50.1,53.65,1863225
2020-06-15 15:30:00,53.0,53.0,53.0,53.0,1200
2020-06-16 09:15:00,109.95,126.6,100.6,102.45,4802852
2020-06-16 09:30:00,102.5,114.35,95.1,99.45,2459175
2020-06-16 09:45:00,99.25,103.4,92.0,93.05,2020800
2020-06-16 10:00:00,93.0,101.25,88.35,95.9,1715925
2020-06-16 10:15:00,96.1,99.55,89.0,94.05,1451775
2020-06-16 10:30:00,94.05,110.5,91.65,104.4,2117700
2020-06-16 10:45:00,103.55,111.0,98.85,108.85,1640850
2020-06-16 11:00:00,108.6,110.0,94.05,96.15,1412175
2020-06-16 11:15:00,95.95,106.65,95.05,98.9,1164225
