datetime,open,high,low,close,volume
2020-08-17 09:15:00,5.7,6.75,4.1,4.1,444752
2020-08-17 09:30:00,4.1,4.15,3.2,3.3,313200
2020-08-17 09:45:00,3.25,3.4,3.05,3.05,291900
2020-08-17 10:00:00,3.1,3.2,2.85,3.0,147375
2020-08-17 10:15:00,3.0,3.05,2.85,2.9,130650
2020-08-17 10:30:00,2.9,3.1,2.6,2.75,108225
2020-08-17 10:45:00,2.75,2.75,2.4,2.5,65250
2020-08-17 11:00:00,2.45,2.75,2.45,2.7,239925
2020-08-17 11:15:00,2.7,2.75,2.5,2.55,65325
2020-08-17 11:30:00,2.55,2.6,2.45,2.5,27000
2020-08-17 11:45:00,2.6,2.65,2.55,2.65,37800
2020-08-17 12:00:00,2.65,2.9,2.65,2.9,50850
2020-08-17 12:15:00,2.9,2.95,2.75,2.8,39000
2020-08-17 12:30:00,2.8,2.8,2.5,2.55,37050
2020-08-17 12:45:00,2.5,2.55,2.35,2.55,35025
2020-08-17 13:00:00,2.55,2.65,2.5,2.55,35775
2020-08-17 13:15:00,2.55,2.6,2.5,2.6,15600
2020-08-17 13:30:00,2.55,2.6,2.5,2.55,22275
2020-08-17 13:45:00,2.55,2.65,2.4,2.4,37350
2020-08-17 14:00:00,2.4,2.55,2.3,2.45,92850
2020-08-17 14:15:00,2.4,2.5,2.35,2.4,71175
2020-08-17 14:30:00,2.4,2.6,2.4,2.45,65850
2020-08-17 14:45:00,2.4,2.6,2.3,2.4,162300
2020-08-17 15:00:00,2.4,2.85,2.4,2.55,151950
2020-08-17 15:15:00,2.55,2.7,1.8,1.8,230025
2020-08-18 09:15:00,1.6,2.05,1.55,1.75,293027
2020-08-18 09:30:00,1.75,1.9,1.7,1.9,220200
2020-08-18 09:45:00,1.9,1.9,1.75,1.75,146250
2020-08-18 10:00:00,1.75,1.8,1.65,1.7,66300
2020-08-18 10:15:00,1.7,1.8,1.65,1.8,139500
2020-08-18 10:30:00,1.8,1.9,1.75,1.9,92325
2020-08-18 10:45:00,1.85,1.95,1.75,1.75,72525
2020-08-18 11:00:00,1.8,1.85,1.7,1.75,76125
2020-08-18 11:15:00,1.75,1.75,1.6,1.65,116775
2020-08-18 11:30:00,1.65,1.75,1.65,1.65,53325
2020-08-18 11:45:00,1.7,1.75,1.65,1.75,28500
2020-08-18 12:00:00,1.7,1.9,1.6,1.85,200025
2020-08-18 12:15:00,1.8,1.85,1.75,1.8,58950
2020-08-18 12:30:00,1.75,1.8,1.65,1.65,51450
2020-08-18 12:45:00,1.7,1.75,1.65,1.7,73425
2020-08-18 13:00:00,1.7,2.0,1.7,1.8,116325
2020-08-18 13:15:00,1.75,1.9,1.75,1.9,73650
2020-08-18 13:30:00,1.95,2.0,1.75,1.75,149700
2020-08-18 13:45:00,1.75,2.1,1.75,1.9,93900
2020-08-18 14:00:00,1.95,3.9,1.9,2.65,603900
2020-08-18 14:15:00,2.7,3.25,2.55,2.75,383025
2020-08-18 14:30:00,2.8,3.1,2.7,2.95,307350
2020-08-18 14:45:00,2.9,3.8,2.9,3.15,581850
2020-08-18 15:00:00,3.1,3.15,2.35,2.65,663375
2020-08-18 15:15:00,2.6,3.0,2.4,2.8,680550
2020-08-19 09:15:00,3.9,3.9,2.35,2.5,1210353
2020-08-19 09:30:00,2.5,2.9,2.4,2.45,627375
2020-08-19 09:45:00,2.5,2.55,2.2,2.3,717900
2020-08-19 10:00:00,2.3,2.4,2.2,2.35,532050
2020-08-19 10:15:00,2.35,2.45,2.2,2.45,345975
2020-08-19 10:30:00,2.45,2.55,2.35,2.55,207300
2020-08-19 10:45:00,2.55,2.55,2.2,2.45,341475
2020-08-19 11:00:00,2.5,2.55,2.15,2.2,325500
2020-08-19 11:15:00,2.15,2.2,1.9,2.05,646200
2020-08-19 11:30:00,2.05,2.2,2.05,2.05,252300
2020-08-19 11:45:00,2.05,2.2,2.05,2.15,234450
2020-08-19 12:00:00,2.15,2.2,2.05,2.15,161325
2020-08-19 12:15:00,2.1,2.2,2.05,2.05,203325
2020-08-19 12:30:00,2.05,2.4,1.9,2.15,427050
2020-08-19 12:45:00,2.15,2.2,1.95,2.15,303300
2020-08-19 13:00:00,2.15,2.35,2.15,2.3,234375
2020-08-19 13:15:00,2.25,2.35,2.2,2.25,251250
2020-08-19 13:30:00,2.2,2.25,1.7,2.0,433725
2020-08-19 13:45:00,2.0,2.75,2.0,2.5,662700
2020-08-19 14:00:00,2.5,3.1,2.2,2.35,609300
2020-08-19 14:15:00,2.3,2.35,1.9,2.05,453825
2020-08-19 14:30:00,2.1,2.2,1.75,1.8,658650
2020-08-19 14:45:00,1.85,2.05,1.55,1.65,459450
2020-08-19 15:00:00,1.65,1.95,1.3,1.3,1487625
2020-08-19 15:15:00,1.35,1.6,0.75,0.75,824700
