datetime,open,high,low,close,volume
2020-07-16 09:30:00,530.0,530.0,530.0,530.0,76
2020-07-17 09:15:00,389.35,389.35,380.0,380.0,451
2020-07-17 09:30:00,372.1,372.1,366.65,366.65,225
2020-07-17 10:00:00,375.3,375.3,375.3,375.3,75
2020-07-17 11:30:00,351.65,351.65,351.65,351.65,75
2020-07-17 14:00:00,351.65,351.65,321.5,326.05,4875
2020-07-17 14:15:00,331.0,336.0,328.0,336.0,2250
2020-07-17 14:30:00,323.3,323.3,310.0,310.0,3525
2020-07-17 14:45:00,305.4,305.4,298.05,300.5,5250
2020-07-17 15:00:00,303.05,303.05,276.4,276.4,300
2020-07-17 15:15:00,267.45,269.4,245.85,249.45,1350
2020-07-20 09:15:00,241.8,241.8,212.1,219.35,5251
2020-07-20 09:30:00,213.6,225.0,213.6,221.95,3150
2020-07-20 09:45:00,221.0,221.0,206.3,212.5,6750
2020-07-20 10:00:00,215.5,219.5,203.65,213.6,12750
2020-07-20 10:15:00,211.05,213.45,205.5,208.7,5925
2020-07-20 10:30:00,211.0,236.5,209.35,230.0,7200
2020-07-20 10:45:00,230.8,230.8,217.3,228.3,2925
2020-07-20 11:00:00,225.05,225.05,219.5,222.2,675
2020-07-20 11:15:00,220.55,227.75,220.1,227.75,2925
2020-07-20 11:30:00,230.0,236.5,225.35,225.35,2175
2020-07-20 11:45:00,230.85,233.3,198.5,210.45,6825
2020-07-20 12:00:00,206.4,214.8,205.0,212.5,5775
2020-07-20 12:15:00,213.8,222.0,212.75,212.75,3450
2020-07-20 12:30:00,220.5,227.4,217.8,218.45,2400
2020-07-20 12:45:00,219.05,225.0,216.5,219.0,3150
2020-07-20 13:00:00,219.0,224.7,207.35,208.6,2850
2020-07-20 13:15:00,211.1,212.35,197.3,207.0,5100
2020-07-20 13:30:00,205.2,254.0,205.2,234.15,12675
2020-07-20 13:45:00,236.4,240.0,229.0,232.5,3300
2020-07-20 14:00:00,235.75,235.75,177.55,180.35,20475
2020-07-20 14:15:00,178.5,206.05,170.15,190.35,15000
2020-07-20 14:30:00,192.35,201.9,180.0,182.75,6750
2020-07-20 14:45:00,178.25,197.95,178.25,187.5,7425
2020-07-20 15:00:00,180.0,192.4,175.65,179.0,7275
2020-07-20 15:15:00,181.2,185.0,175.65,181.85,10875
2020-07-21 09:15:00,104.7,115.0,85.0,97.3,472127
2020-07-21 09:30:00,98.45,99.9,94.1,99.9,467700
2020-07-21 09:45:00,99.45,102.95,96.7,100.05,303525
2020-07-21 10:00:00,101.0,110.75,99.0,103.9,335475
2020-07-21 10:15:00,104.05,105.25,100.15,102.5,162675
2020-07-21 10:30:00,102.15,108.0,95.8,98.75,223350
2020-07-21 10:45:00,98.4,104.3,97.15,100.6,153375
2020-07-21 11:00:00,100.2,104.0,97.0,101.6,195525
2020-07-21 11:15:00,101.9,103.9,97.35,101.25,172350
2020-07-21 11:30:00,101.7,102.2,91.15,92.85,356025
2020-07-21 11:45:00,92.5,96.0,92.05,94.9,247050
2020-07-21 12:00:00,94.9,95.85,80.75,87.5,375600
2020-07-21 12:15:00,87.55,89.0,82.45,84.75,296175
2020-07-21 12:30:00,85.5,91.0,83.85,87.3,327750
2020-07-21 12:45:00,87.3,88.4,82.8,84.8,267600
2020-07-21 13:00:00,84.9,87.3,72.2,79.95,680850
2020-07-21 13:15:00,79.75,88.9,78.5,84.9,597900
2020-07-21 13:30:00,85.25,88.0,75.9,80.45,448425
2020-07-21 13:45:00,80.1,87.8,79.35,83.15,405750
2020-07-21 14:00:00,83.25,86.5,80.15,82.45,279750
2020-07-21 14:15:00,81.8,83.5,69.5,73.65,746850
2020-07-21 14:30:00,73.9,74.0,62.45,65.4,858450
2020-07-21 14:45:00,65.4,76.2,61.1,69.55,912375
2020-07-21 15:00:00,69.85,73.35,61.0,66.5,735450
2020-07-21 15:15:00,66.75,71.4,61.65,62.2,662550
2020-07-21 15:30:00,63.0,63.0,63.0,63.0,900
2020-07-22 09:15:00,55.0,89.75,33.65,79.1,1986076
2020-07-22 09:30:00,78.5,99.4,78.0,92.75,1350150
2020-07-22 09:45:00,92.0,92.0,82.4,88.05,618075
2020-07-22 10:00:00,88.5,93.2,79.55,84.9,671250
2020-07-22 10:15:00,84.4,86.9,65.1,70.4,743925
2020-07-22 10:30:00,70.75,75.3,68.05,70.95,703650
2020-07-22 10:45:00,70.9,72.15,65.2,67.3,602400
2020-07-22 11:00:00,66.8,71.0,58.05,60.05,623100
2020-07-22 11:15:00,60.15,61.05,51.4,57.0,907650
2020-07-22 11:30:00,56.95,59.9,54.4,57.85,534525
2020-07-22 11:45:00,58.1,68.95,57.95,62.4,693375
2020-07-22 12:00:00,62.35,62.75,57.1,58.25,478425
2020-07-22 12:15:00,58.25,59.9,52.05,59.15,684750
2020-07-22 12:30:00,58.55,63.9,56.0,57.2,618000
2020-07-22 12:45:00,57.05,60.8,54.35,55.8,846900
2020-07-22 13:00:00,56.75,81.15,48.2,78.6,1931100
2020-07-22 13:15:00,78.95,96.6,78.0,91.9,2227500
2020-07-22 13:30:00,91.8,105.0,88.3,94.35,1319850
2020-07-22 13:45:00,94.6,95.5,75.0,81.55,925500
2020-07-22 14:00:00,81.85,112.1,81.0,106.3,987525
2020-07-22 14:15:00,106.3,110.0,86.75,91.0,813975
2020-07-22 14:30:00,91.25,124.8,90.6,124.1,997425
2020-07-22 14:45:00,124.3,126.55,99.0,106.6,924750
2020-07-22 15:00:00,105.75,106.05,68.8,69.25,1078500
2020-07-22 15:15:00,69.15,69.25,57.5,59.3,957450
2020-07-22 15:30:00,59.4,59.4,59.4,59.4,4425
2020-07-23 09:15:00,80.0,80.0,30.0,31.15,3931502
2020-07-23 09:30:00,30.95,33.25,26.3,28.05,3316875
2020-07-23 09:45:00,27.8,34.6,27.8,29.7,2522550
2020-07-23 10:00:00,29.85,35.0,29.05,30.25,2269125
2020-07-23 10:15:00,30.35,30.35,24.2,25.85,2270850
2020-07-23 10:30:00,25.7,26.0,22.0,22.35,2362125
2020-07-23 10:45:00,22.25,23.2,19.65,21.65,2568150
2020-07-23 11:00:00,21.6,21.6,14.2,15.1,4475475
2020-07-23 11:15:00,14.8,17.4,13.15,15.65,2804400
2020-07-23 11:30:00,15.65,16.15,9.2,9.65,5891625
2020-07-23 11:45:00,9.65,12.0,8.8,11.2,3512625
2020-07-23 12:00:00,11.1,11.15,8.85,9.05,2593650
2020-07-23 12:15:00,9.15,10.4,5.5,8.85,5012550
2020-07-23 12:30:00,8.85,9.0,7.0,8.1,2796375
2020-07-23 12:45:00,8.1,11.1,7.6,9.75,4993725
2020-07-23 13:00:00,9.75,11.75,6.45,7.7,4537200
2020-07-23 13:15:00,7.8,8.25,4.25,4.55,4267275
2020-07-23 13:30:00,4.5,5.2,3.7,4.5,4477725
2020-07-23 13:45:00,4.55,7.9,3.1,3.25,5788125
2020-07-23 14:00:00,3.25,3.7,2.5,2.7,4507425
2020-07-23 14:15:00,2.75,6.95,2.5,5.35,9096300
2020-07-23 14:30:00,5.4,7.7,1.55,1.7,10891050
2020-07-23 14:45:00,1.7,1.75,0.4,0.5,7571775
2020-07-23 15:00:00,0.45,0.45,0.1,0.15,5673375
2020-07-23 15:15:00,0.1,0.35,0.05,0.05,3580050
2020-07-23 15:30:00,0.1,0.1,0.1,0.1,8550
