datetime,open,high,low,close,volume
2021-08-26 09:15:00,344.15,344.2,319.7,319.7,902
2021-08-26 09:30:00,319.7,321.0,319.7,319.8,150
2021-08-26 10:00:00,306.95,306.95,304.5,304.5,150
2021-08-26 10:15:00,303.4,303.4,303.4,303.4,50
2021-08-26 10:30:00,303.4,303.4,303.4,303.4,600
2021-08-26 10:45:00,305.5,305.5,305.5,305.5,50
2021-08-26 11:00:00,303.05,303.05,303.05,303.05,200
2021-08-26 11:15:00,303.05,312.5,303.05,312.5,200
2021-08-26 11:30:00,301.55,301.55,301.55,301.55,100
2021-08-26 11:45:00,314.95,314.95,314.95,314.95,100
2021-08-26 12:00:00,317.6,326.3,317.6,326.3,350
2021-08-26 12:15:00,336.0,336.0,336.0,336.0,1200
2021-08-26 12:30:00,337.4,341.65,337.05,337.05,400
2021-08-26 12:45:00,358.7,363.25,343.2,343.2,450
2021-08-26 13:00:00,337.85,337.85,330.9,330.9,100
2021-08-26 13:15:00,331.3,331.3,326.45,326.45,100
2021-08-26 13:30:00,331.4,336.9,331.4,332.05,150
2021-08-26 13:45:00,335.05,338.45,330.85,330.85,800
2021-08-26 14:00:00,323.8,325.7,323.8,325.0,150
2021-08-26 14:15:00,329.45,338.35,329.45,338.35,150
2021-08-26 14:30:00,336.65,353.7,336.65,353.7,200
2021-08-26 14:45:00,353.4,353.4,353.4,353.4,50
2021-08-26 15:00:00,343.65,343.65,329.0,329.0,250
2021-08-26 15:15:00,326.15,335.55,321.3,335.45,1050
2021-08-27 09:15:00,335.0,375.0,326.2,375.0,1351
2021-08-27 09:30:00,385.25,388.05,372.0,372.0,1050
2021-08-27 09:45:00,363.4,363.4,337.65,337.75,550
2021-08-27 10:00:00,336.0,336.65,336.0,336.65,100
2021-08-27 10:15:00,321.8,327.45,320.1,320.1,500
2021-08-27 10:30:00,313.55,314.8,302.35,311.05,3500
2021-08-27 10:45:00,304.4,317.9,304.4,317.9,1050
2021-08-27 11:00:00,310.0,310.0,294.25,296.0,3000
2021-08-27 11:15:00,296.0,299.2,294.2,299.0,700
2021-08-27 11:30:00,294.2,295.45,283.35,283.35,1250
2021-08-27 11:45:00,280.0,289.9,280.0,283.0,600
2021-08-27 12:00:00,282.1,286.35,282.1,286.35,200
2021-08-27 12:15:00,283.35,287.85,282.5,282.5,800
2021-08-27 12:30:00,281.45,281.85,276.35,276.35,350
2021-08-27 12:45:00,286.8,287.0,277.1,277.1,400
2021-08-27 13:00:00,275.5,284.75,275.5,276.7,450
2021-08-27 13:15:00,275.0,275.0,266.6,266.6,1450
2021-08-27 13:30:00,269.1,285.7,261.6,272.65,1950
2021-08-27 13:45:00,270.2,273.85,266.95,273.85,500
2021-08-27 14:00:00,271.4,279.0,271.4,279.0,550
2021-08-27 14:15:00,270.95,271.85,263.0,271.85,900
2021-08-27 14:30:00,268.0,272.55,254.25,266.05,3650
2021-08-27 14:45:00,266.0,271.95,265.0,265.0,1000
2021-08-27 15:00:00,264.1,268.0,254.65,259.85,4350
2021-08-27 15:15:00,259.9,273.3,257.45,273.3,9800
2021-08-30 09:15:00,196.85,204.0,164.4,169.65,95301
2021-08-30 09:30:00,168.2,171.0,153.45,154.8,94900
2021-08-30 09:45:00,154.6,154.6,144.6,146.7,101400
2021-08-30 10:00:00,146.0,150.3,143.4,146.0,71350
2021-08-30 10:15:00,145.25,148.05,135.3,138.0,106650
2021-08-30 10:30:00,138.05,138.05,125.0,129.3,225250
2021-08-30 10:45:00,128.85,140.15,127.95,139.0,170700
2021-08-30 11:00:00,138.0,140.55,131.5,134.7,112250
2021-08-30 11:15:00,135.05,139.3,131.3,137.4,106450
2021-08-30 11:30:00,137.8,143.65,134.45,139.1,109150
2021-08-30 11:45:00,139.25,145.0,134.55,138.65,79600
2021-08-30 12:00:00,137.9,137.9,132.3,135.9,40850
2021-08-30 12:15:00,135.55,137.45,133.35,136.75,32150
2021-08-30 12:30:00,136.55,136.9,127.0,127.6,71850
2021-08-30 12:45:00,127.5,127.5,122.0,123.95,80750
2021-08-30 13:00:00,124.0,126.9,116.5,116.5,105350
2021-08-30 13:15:00,117.3,121.9,110.05,113.15,168600
2021-08-30 13:30:00,113.55,122.55,111.7,121.45,134950
2021-08-30 13:45:00,121.9,124.2,114.5,118.7,124050
2021-08-30 14:00:00,118.15,120.45,107.5,112.1,207850
2021-08-30 14:15:00,111.85,113.35,98.35,105.15,457600
2021-08-30 14:30:00,105.55,112.05,102.7,105.4,278400
2021-08-30 14:45:00,105.3,111.75,99.55,100.15,227400
2021-08-30 15:00:00,100.55,106.4,92.4,93.25,660700
2021-08-30 15:15:00,93.2,94.3,81.8,87.65,1286450
2021-08-30 15:30:00,87.0,87.0,87.0,87.0,50
2021-08-31 09:15:00,91.2,105.85,61.85,66.8,2967053
2021-08-31 09:30:00,66.6,99.0,66.6,92.55,3618650
2021-08-31 09:45:00,92.6,95.25,72.75,77.45,1654550
2021-08-31 10:00:00,77.15,82.3,72.6,73.15,1336550
2021-08-31 10:15:00,73.55,74.5,67.75,69.1,1144150
2021-08-31 10:30:00,68.75,68.75,58.0,60.05,1727700
2021-08-31 10:45:00,59.8,68.4,57.2,67.55,1473500
2021-08-31 11:00:00,68.35,71.45,60.45,63.8,1301650
2021-08-31 11:15:00,63.25,69.95,63.2,66.85,1254050
2021-08-31 11:30:00,66.65,68.8,61.5,62.7,846550
2021-08-31 11:45:00,62.7,62.7,56.0,58.15,1053250
2021-08-31 12:00:00,58.0,61.0,54.15,55.4,1188150
2021-08-31 12:15:00,55.1,59.05,51.0,51.9,1910000
2021-08-31 12:30:00,52.15,53.7,44.4,47.95,2022100
2021-08-31 12:45:00,47.7,48.9,42.2,43.6,1149100
2021-08-31 13:00:00,43.75,44.5,39.25,40.4,1608050
2021-08-31 13:15:00,40.4,59.05,38.6,48.5,3198700
2021-08-31 13:30:00,48.55,50.4,44.35,45.1,1083350
2021-08-31 13:45:00,44.65,45.3,39.45,41.35,1330600
2021-08-31 14:00:00,41.45,48.9,40.5,42.1,1336000
2021-08-31 14:15:00,41.65,41.65,34.75,36.1,1261100
2021-08-31 14:30:00,35.95,35.95,30.6,31.7,1625400
2021-08-31 14:45:00,31.75,33.3,30.3,32.3,1154050
2021-08-31 15:00:00,32.5,32.85,25.3,27.75,3008250
2021-08-31 15:15:00,27.65,29.65,23.5,23.6,2361500
2021-08-31 15:30:00,23.6,23.6,23.6,23.6,50
2021-09-01 09:15:00,25.0,25.0,14.0,16.45,1793253
2021-09-01 09:30:00,16.5,18.0,14.45,15.3,1463050
2021-09-01 09:45:00,15.25,16.7,13.9,14.55,1285000
2021-09-01 10:00:00,14.45,15.3,13.35,15.15,1070650
2021-09-01 10:15:00,15.2,16.7,14.45,16.3,1455300
2021-09-01 10:30:00,16.4,17.35,12.85,13.6,1229050
2021-09-01 10:45:00,13.8,19.4,13.5,17.4,1199300
2021-09-01 11:00:00,17.75,21.6,14.35,17.35,2293050
2021-09-01 11:15:00,17.05,19.3,13.8,17.45,1563550
2021-09-01 11:30:00,17.3,18.8,14.2,16.4,938500
2021-09-01 11:45:00,16.5,19.9,15.45,19.05,980000
2021-09-01 12:00:00,18.9,18.9,14.8,17.0,903950
2021-09-01 12:15:00,16.95,20.2,16.55,17.15,1197900
2021-09-01 12:30:00,16.65,19.55,15.2,15.85,1027300
2021-09-01 12:45:00,15.95,16.1,9.45,9.7,1627650
2021-09-01 13:00:00,9.75,10.85,8.6,10.85,982150
2021-09-01 13:15:00,10.8,11.9,9.0,10.35,923700
2021-09-01 13:30:00,10.35,11.25,8.65,9.3,697000
2021-09-01 13:45:00,9.4,9.5,6.95,7.25,851950
2021-09-01 14:00:00,7.3,10.3,7.2,9.9,808900
2021-09-01 14:15:00,9.9,10.25,8.2,9.05,657900
2021-09-01 14:30:00,9.2,11.4,8.45,9.65,1324050
2021-09-01 14:45:00,9.55,11.5,8.45,10.05,1425050
2021-09-01 15:00:00,9.85,12.1,7.65,12.0,1917550
2021-09-01 15:15:00,11.95,12.95,10.55,11.6,2231100
2021-09-01 15:30:00,12.25,12.25,12.25,12.25,250
2021-09-02 09:15:00,11.95,13.6,4.55,4.8,4955652
2021-09-02 09:30:00,4.7,5.2,4.1,4.4,2999200
2021-09-02 09:45:00,4.3,5.45,3.5,3.7,2549900
2021-09-02 10:00:00,3.75,3.8,3.4,3.6,1238600
2021-09-02 10:15:00,3.6,4.15,3.55,3.7,1000350
2021-09-02 10:30:00,3.7,3.9,2.6,2.75,1642800
2021-09-02 10:45:00,2.8,3.1,2.7,2.95,1576000
