datetime,open,high,low,close,volume
2021-12-17 09:15:00,33.5,49.15,29.95,47.65,629951
2021-12-17 09:30:00,47.85,52.45,43.7,49.6,571100
2021-12-17 09:45:00,50.0,75.0,47.9,72.1,894300
2021-12-17 10:00:00,72.2,73.95,58.7,61.15,643850
2021-12-17 10:15:00,61.55,76.95,60.35,65.5,508150
2021-12-17 10:30:00,66.15,80.1,65.45,77.6,634700
2021-12-17 10:45:00,77.6,85.95,72.45,78.0,693450
2021-12-17 11:00:00,76.4,81.25,69.3,74.5,437600
2021-12-17 11:15:00,75.0,78.75,67.45,70.8,332350
2021-12-17 11:30:00,69.75,79.95,67.2,77.25,340450
2021-12-17 11:45:00,77.25,84.6,74.6,76.95,872600
2021-12-17 12:00:00,77.45,89.0,76.95,84.4,523500
2021-12-17 12:15:00,84.6,87.0,78.95,80.2,341200
2021-12-17 12:30:00,80.0,89.4,77.85,87.75,344000
2021-12-17 12:45:00,87.0,88.25,67.7,68.6,392600
2021-12-17 13:00:00,68.4,72.35,62.8,70.45,344800
2021-12-17 13:15:00,70.5,70.5,58.3,58.3,300950
2021-12-17 13:30:00,58.9,67.4,57.6,66.0,419450
2021-12-17 13:45:00,65.95,68.9,53.6,55.05,461400
2021-12-17 14:00:00,55.05,62.4,52.05,60.25,494850
2021-12-17 14:15:00,60.2,74.25,59.55,69.0,609200
2021-12-17 14:30:00,68.75,79.8,65.45,75.6,555800
2021-12-17 14:45:00,76.15,87.55,74.8,82.0,1025400
2021-12-17 15:00:00,81.85,89.95,73.05,81.5,989050
2021-12-17 15:15:00,80.9,86.75,75.65,78.0,636800
2021-12-17 15:30:00,80.7,80.7,80.7,80.7,100
2021-12-20 09:15:00,125.0,248.5,125.0,238.3,1815501
2021-12-20 09:30:00,240.5,255.0,214.6,243.0,305500
2021-12-20 09:45:00,242.5,250.0,230.0,238.3,168550
2021-12-20 10:00:00,241.8,297.75,234.1,283.65,189100
2021-12-20 10:15:00,285.0,315.5,274.65,299.05,115700
2021-12-20 10:30:00,301.1,308.25,270.0,275.5,78150
2021-12-20 10:45:00,278.0,306.7,271.0,304.75,44300
2021-12-20 11:00:00,303.55,310.7,280.0,297.8,73100
2021-12-20 11:15:00,297.8,316.45,289.1,314.15,45550
2021-12-20 11:30:00,315.75,331.2,304.1,316.9,54000
2021-12-20 11:45:00,315.85,336.05,309.4,329.65,56000
2021-12-20 12:00:00,328.25,335.2,315.8,330.1,74650
2021-12-20 12:15:00,333.1,366.95,331.25,364.45,51000
2021-12-20 12:30:00,363.05,400.35,359.25,377.25,80500
2021-12-20 12:45:00,375.4,455.85,375.4,443.05,65800
2021-12-20 13:00:00,439.95,439.95,414.35,422.7,15900
2021-12-20 13:15:00,422.4,422.4,347.6,355.3,17600
2021-12-20 13:30:00,356.05,374.2,338.35,373.75,14400
2021-12-20 13:45:00,363.05,363.05,326.4,350.0,16900
2021-12-20 14:00:00,347.4,387.1,333.45,348.6,27200
2021-12-20 14:15:00,353.4,353.4,296.95,304.85,29550
2021-12-20 14:30:00,305.95,338.6,293.2,334.0,28700
2021-12-20 14:45:00,329.9,346.45,299.65,310.95,24950
2021-12-20 15:00:00,307.55,307.55,252.9,260.0,49900
2021-12-20 15:15:00,257.1,271.2,248.4,267.2,33600
2021-12-21 09:15:00,169.85,193.15,131.05,151.65,908902
2021-12-21 09:30:00,150.55,182.9,141.15,142.15,792900
2021-12-21 09:45:00,142.05,148.25,118.2,124.75,749300
2021-12-21 10:00:00,123.55,135.55,120.25,134.0,774750
2021-12-21 10:15:00,135.0,135.0,105.0,106.5,1130750
2021-12-21 10:30:00,106.55,113.35,99.0,99.0,1247750
2021-12-21 10:45:00,99.45,104.4,91.25,91.45,1047200
2021-12-21 11:00:00,91.65,100.9,87.0,94.0,1282100
2021-12-21 11:15:00,93.75,106.75,91.65,101.7,1284750
2021-12-21 11:30:00,102.3,104.85,84.6,87.15,1026450
2021-12-21 11:45:00,86.8,87.25,76.2,81.35,1241200
2021-12-21 12:00:00,81.45,84.3,72.5,75.6,759300
2021-12-21 12:15:00,75.5,90.2,74.8,82.0,1129500
2021-12-21 12:30:00,81.3,84.6,70.0,73.5,823000
2021-12-21 12:45:00,73.5,82.6,72.35,76.15,645550
2021-12-21 13:00:00,76.1,97.4,74.55,91.6,1446400
2021-12-21 13:15:00,93.5,99.75,81.15,89.3,1471550
2021-12-21 13:30:00,89.2,99.85,85.1,97.65,1401350
2021-12-21 13:45:00,97.9,104.5,88.85,103.6,1452150
2021-12-21 14:00:00,104.5,137.15,103.7,130.75,3028900
2021-12-21 14:15:00,132.0,164.85,129.0,156.0,1654350
2021-12-21 14:30:00,156.2,205.0,149.5,157.15,1218250
2021-12-21 14:45:00,155.75,159.4,119.5,127.25,863400
2021-12-21 15:00:00,127.95,161.85,124.95,133.85,762850
2021-12-21 15:15:00,134.0,142.55,130.0,130.0,459950
2021-12-21 15:30:00,130.0,130.0,130.0,130.0,250
2021-12-22 09:15:00,126.85,126.85,64.15,79.4,3872401
2021-12-22 09:30:00,79.0,85.0,62.1,68.05,2272000
2021-12-22 09:45:00,68.1,72.0,55.5,64.65,1867650
2021-12-22 10:00:00,64.05,77.2,58.15,69.7,2593050
2021-12-22 10:15:00,69.5,97.8,66.15,97.8,4255650
2021-12-22 10:30:00,96.75,99.05,76.6,87.8,3282000
2021-12-22 10:45:00,87.4,95.5,68.35,69.45,2648000
2021-12-22 11:00:00,69.25,70.35,59.7,70.2,2201150
2021-12-22 11:15:00,70.45,74.2,62.05,70.7,1654900
2021-12-22 11:30:00,71.25,74.6,62.3,67.65,1489500
2021-12-22 11:45:00,67.5,71.1,60.7,61.05,1195150
2021-12-22 12:00:00,60.0,65.65,52.35,65.3,2158450
2021-12-22 12:15:00,65.5,68.95,60.65,65.2,1907500
2021-12-22 12:30:00,65.2,67.5,54.85,55.55,1450550
2021-12-22 12:45:00,55.55,61.2,53.7,57.0,1577200
2021-12-22 13:00:00,57.4,66.05,48.8,65.95,2932200
2021-12-22 13:15:00,66.1,74.15,51.35,56.9,3041550
2021-12-22 13:30:00,56.9,64.25,52.8,55.0,1816050
2021-12-22 13:45:00,55.0,63.5,54.4,60.7,1892700
2021-12-22 14:00:00,60.7,72.6,56.7,57.75,3983250
2021-12-22 14:15:00,58.05,62.6,45.15,46.15,2806000
2021-12-22 14:30:00,45.7,53.85,42.75,45.4,2515600
2021-12-22 14:45:00,45.25,45.6,32.35,33.8,3907050
2021-12-22 15:00:00,33.2,33.25,25.5,29.1,3187000
2021-12-22 15:15:00,29.0,29.45,22.6,23.0,3126850
2021-12-23 09:15:00,16.7,16.7,5.15,5.45,6116003
2021-12-23 09:30:00,5.45,5.45,3.55,3.65,5456550
2021-12-23 09:45:00,3.65,4.65,3.45,3.55,3587750
2021-12-23 10:00:00,3.55,4.0,3.05,4.0,2350000
2021-12-23 10:15:00,4.05,5.45,3.85,4.15,3705300
2021-12-23 10:30:00,4.2,4.75,3.3,3.8,1435950
2021-12-23 10:45:00,3.8,4.55,3.35,3.6,1177500
2021-12-23 11:00:00,3.6,3.75,3.1,3.55,1133600
2021-12-23 11:15:00,3.55,5.1,3.45,3.7,2608300
2021-12-23 11:30:00,3.7,4.2,2.9,3.0,1490300
2021-12-23 11:45:00,3.05,3.05,2.35,2.7,1736550
2021-12-23 12:00:00,2.65,2.65,1.9,1.95,1980250
2021-12-23 12:15:00,1.95,2.0,1.6,1.7,1569300
2021-12-23 12:30:00,1.65,1.8,1.45,1.55,1630600
2021-12-23 12:45:00,1.55,1.8,1.5,1.7,988750
2021-12-23 13:00:00,1.7,1.7,1.55,1.55,676200
2021-12-23 13:15:00,1.55,1.65,1.35,1.35,1639600
2021-12-23 13:30:00,1.35,1.55,1.35,1.35,1284000
2021-12-23 13:45:00,1.35,1.7,0.85,0.9,1657850
2021-12-23 14:00:00,0.9,1.15,0.8,0.85,944650
2021-12-23 14:15:00,0.9,1.0,0.45,0.45,1034950
2021-12-23 14:30:00,0.45,0.6,0.35,0.55,756950
2021-12-23 14:45:00,0.5,0.6,0.2,0.2,852000
2021-12-23 15:00:00,0.25,0.25,0.1,0.15,622650
2021-12-23 15:15:00,0.1,0.15,0.05,0.05,405850
