datetime,open,high,low,close,volume
2021-08-16 09:15:00,57.9,62.05,52.75,54.45,82901
2021-08-16 09:30:00,54.0,63.2,53.75,57.2,78200
2021-08-16 09:45:00,57.3,59.25,51.0,52.1,35350
2021-08-16 10:00:00,51.9,54.25,48.9,51.55,25850
2021-08-16 10:15:00,50.85,52.5,50.6,51.65,14450
2021-08-16 10:30:00,51.55,53.2,50.9,52.7,29300
2021-08-16 10:45:00,52.7,53.2,49.65,50.75,20400
2021-08-16 11:00:00,50.35,50.5,44.5,46.0,32850
2021-08-16 11:15:00,46.0,46.45,44.6,46.0,37000
2021-08-16 11:30:00,46.05,47.4,45.55,47.3,41800
2021-08-16 11:45:00,47.4,47.8,45.45,47.25,13500
2021-08-16 12:00:00,47.15,47.95,45.1,45.1,7200
2021-08-16 12:15:00,44.45,47.1,44.45,46.0,11650
2021-08-16 12:30:00,45.6,50.25,45.6,46.15,19950
2021-08-16 12:45:00,46.1,46.4,42.1,45.05,15850
2021-08-16 13:00:00,44.6,45.15,42.75,42.75,5050
2021-08-16 13:15:00,42.2,44.75,42.05,43.4,9500
2021-08-16 13:30:00,43.3,44.6,42.6,44.2,9850
2021-08-16 13:45:00,44.95,44.95,42.1,42.45,14300
2021-08-16 14:00:00,41.85,43.8,41.6,42.4,15000
2021-08-16 14:15:00,42.4,43.45,41.95,42.05,13200
2021-08-16 14:30:00,42.4,42.5,38.85,38.85,29150
2021-08-16 14:45:00,38.85,40.2,38.15,40.2,22850
2021-08-16 15:00:00,39.7,41.7,39.45,40.35,24300
2021-08-16 15:15:00,40.3,44.15,40.05,43.85,52850
2021-08-17 09:15:00,43.9,48.25,35.25,36.35,70352
2021-08-17 09:30:00,36.5,38.1,36.1,36.7,24250
2021-08-17 09:45:00,37.2,41.55,36.7,40.6,34500
2021-08-17 10:00:00,40.65,41.3,37.05,39.4,37600
2021-08-17 10:15:00,39.55,40.5,38.95,40.1,23900
2021-08-17 10:30:00,40.3,41.0,36.5,38.0,34750
2021-08-17 10:45:00,37.85,38.8,37.2,38.3,13800
2021-08-17 11:00:00,37.65,38.5,37.65,38.05,9950
2021-08-17 11:15:00,38.05,38.4,36.25,36.75,14700
2021-08-17 11:30:00,36.85,38.9,36.05,38.1,13300
2021-08-17 11:45:00,38.25,41.8,37.8,41.3,24150
2021-08-17 12:00:00,41.45,48.45,40.85,44.15,76850
2021-08-17 12:15:00,44.45,44.9,40.3,41.45,23550
2021-08-17 12:30:00,40.75,46.6,39.55,45.8,26150
2021-08-17 12:45:00,46.05,46.9,42.0,45.0,22100
2021-08-17 13:00:00,45.05,48.0,40.45,41.75,24350
2021-08-17 13:15:00,41.65,42.9,39.55,40.7,21350
2021-08-17 13:30:00,40.7,41.1,34.55,35.2,25400
2021-08-17 13:45:00,35.15,37.05,34.3,36.1,16150
2021-08-17 14:00:00,36.05,37.0,33.5,34.35,12250
2021-08-17 14:15:00,34.4,36.65,33.0,33.9,28800
2021-08-17 14:30:00,33.75,35.35,33.3,33.45,33450
2021-08-17 14:45:00,33.4,36.0,33.3,33.95,59700
2021-08-17 15:00:00,34.0,34.0,27.8,28.2,92050
2021-08-17 15:15:00,28.35,29.25,27.55,27.6,69900
2021-08-18 09:15:00,24.8,24.8,16.5,17.35,158301
2021-08-18 09:30:00,17.05,19.45,16.9,18.0,112100
2021-08-18 09:45:00,18.15,18.65,17.45,18.25,98900
2021-08-18 10:00:00,18.3,18.8,17.95,18.05,53800
2021-08-18 10:15:00,18.05,18.45,17.9,18.4,51000
2021-08-18 10:30:00,18.3,18.8,18.0,18.4,38600
