datetime,open,high,low,close,volume
2022-09-01 09:15:00,119.9,119.9,52.0,81.75,1497803
2022-09-01 09:30:00,81.55,112.6,80.1,112.3,936950
2022-09-01 09:45:00,112.35,122.05,94.1,105.9,827750
2022-09-01 10:00:00,106.25,123.4,104.1,120.5,663550
2022-09-01 10:15:00,120.5,135.3,119.0,131.75,869700
2022-09-01 10:30:00,131.85,132.8,106.35,118.85,613650
2022-09-01 10:45:00,118.7,123.55,113.95,121.15,307500
2022-09-01 11:00:00,121.1,121.1,110.0,118.6,358400
2022-09-01 11:15:00,118.25,124.3,116.0,121.8,261200
2022-09-01 11:30:00,120.0,123.9,111.85,115.0,324200
2022-09-01 11:45:00,114.8,117.55,105.05,113.25,873950
2022-09-01 12:00:00,113.35,116.7,109.75,112.7,489850
2022-09-01 12:15:00,112.7,113.95,104.6,106.65,265500
2022-09-01 12:30:00,107.05,110.05,100.1,110.05,515900
2022-09-01 12:45:00,110.2,112.65,95.0,95.35,388550
2022-09-01 13:00:00,94.9,98.25,83.4,87.0,787300
2022-09-01 13:15:00,86.0,97.1,84.65,93.5,444250
2022-09-01 13:30:00,94.1,96.25,80.5,88.25,474450
2022-09-01 13:45:00,88.35,88.9,69.0,70.05,814700
2022-09-01 14:00:00,70.8,80.15,70.75,79.65,728600
2022-09-01 14:15:00,79.15,83.7,74.0,82.25,537100
2022-09-01 14:30:00,82.35,88.75,78.75,84.65,810950
2022-09-01 14:45:00,84.2,85.55,75.1,80.75,629350
2022-09-01 15:00:00,80.85,86.15,70.1,81.75,1595850
2022-09-01 15:15:00,81.95,87.0,76.0,87.0,2726950
2022-09-01 15:30:00,87.0,87.0,87.0,87.0,3500
2022-09-02 09:15:00,87.55,99.0,66.6,67.1,7515302
2022-09-02 09:30:00,66.9,68.35,54.15,60.3,5658800
2022-09-02 09:45:00,60.35,68.3,52.55,55.6,4133900
2022-09-02 10:00:00,55.6,55.95,49.75,52.8,3181550
2022-09-02 10:15:00,52.75,59.95,50.1,59.3,2344300
2022-09-02 10:30:00,59.8,61.95,53.25,60.3,2256400
2022-09-02 10:45:00,60.5,63.25,53.15,55.0,2362550
2022-09-02 11:00:00,55.15,58.85,51.25,56.6,1715350
2022-09-02 11:15:00,56.3,58.65,54.9,57.75,1242950
2022-09-02 11:30:00,57.2,60.2,52.7,59.8,1536750
2022-09-02 11:45:00,59.7,62.65,55.1,59.0,1802050
2022-09-02 12:00:00,59.35,65.4,58.3,62.4,2084100
2022-09-02 12:15:00,62.7,65.4,62.0,64.3,1529750
2022-09-02 12:30:00,64.0,65.15,56.55,62.05,1908100
2022-09-02 12:45:00,61.9,68.0,59.65,65.65,2013200
2022-09-02 13:00:00,65.9,68.8,61.75,66.9,1800050
2022-09-02 13:15:00,67.15,70.85,63.8,66.55,2459150
2022-09-02 13:30:00,66.65,68.75,61.6,63.15,1544200
2022-09-02 13:45:00,63.05,68.45,61.55,67.0,1595500
2022-09-02 14:00:00,66.9,80.9,66.8,77.8,5569100
2022-09-02 14:15:00,77.3,80.0,72.3,75.4,2319400
2022-09-02 14:30:00,74.65,75.2,60.25,60.55,3550700
2022-09-02 14:45:00,60.25,60.25,53.0,55.45,3577750
2022-09-02 15:00:00,55.1,57.15,47.6,54.95,4716550
2022-09-02 15:15:00,55.35,57.45,50.6,55.0,3853800
2022-09-02 15:30:00,55.0,55.0,55.0,55.0,1100
2022-09-05 09:15:00,55.0,60.9,41.7,56.7,7498302
2022-09-05 09:30:00,56.9,72.5,54.8,70.0,6870500
2022-09-05 09:45:00,70.4,70.9,59.0,67.2,4208000
2022-09-05 10:00:00,67.0,75.0,65.95,73.25,4084100
2022-09-05 10:15:00,73.75,74.25,69.6,72.7,2256200
2022-09-05 10:30:00,72.55,73.0,64.45,68.05,2318150
2022-09-05 10:45:00,68.4,69.95,61.55,61.8,1827100
2022-09-05 11:00:00,61.0,65.95,58.9,62.25,2179250
2022-09-05 11:15:00,62.1,63.45,56.85,61.3,1831200
2022-09-05 11:30:00,60.75,65.7,59.2,64.7,1592900
2022-09-05 11:45:00,64.45,67.8,63.55,66.4,1502650
2022-09-05 12:00:00,66.8,73.25,64.2,72.55,2559950
2022-09-05 12:15:00,72.55,80.0,71.3,74.35,3895400
2022-09-05 12:30:00,74.2,79.7,73.9,75.8,2259650
2022-09-05 12:45:00,76.05,78.95,68.5,69.9,2513300
2022-09-05 13:00:00,70.2,75.3,64.9,66.05,2119400
2022-09-05 13:15:00,66.3,67.65,61.0,67.35,2713750
2022-09-05 13:30:00,67.2,68.3,57.75,59.15,2405400
2022-09-05 13:45:00,59.15,69.25,57.4,67.4,2557300
2022-09-05 14:00:00,67.4,72.65,65.85,69.85,2952000
2022-09-05 14:15:00,70.1,71.25,63.95,71.25,2243850
2022-09-05 14:30:00,71.35,75.0,63.1,69.6,3349850
2022-09-05 14:45:00,68.5,72.1,64.5,66.65,2727950
2022-09-05 15:00:00,65.2,75.15,65.2,72.0,4476350
2022-09-05 15:15:00,71.95,73.5,67.45,68.4,3893050
2022-09-05 15:30:00,68.5,68.5,68.5,68.5,750
2022-09-06 09:15:00,72.1,88.95,69.4,77.1,9772003
2022-09-06 09:30:00,76.6,80.3,62.35,63.35,8635200
2022-09-06 09:45:00,63.1,66.25,55.6,62.25,5688700
2022-09-06 10:00:00,62.4,62.5,48.7,50.95,4624700
2022-09-06 10:15:00,50.7,51.55,39.7,42.3,6520050
2022-09-06 10:30:00,42.0,44.95,39.35,43.45,4654950
2022-09-06 10:45:00,43.45,49.45,42.65,49.3,3919000
2022-09-06 11:00:00,49.35,57.6,47.1,56.9,5277350
2022-09-06 11:15:00,57.0,58.65,46.9,50.8,4450400
2022-09-06 11:30:00,50.95,57.5,48.7,57.15,3172300
2022-09-06 11:45:00,57.3,62.9,52.5,62.35,4086800
2022-09-06 12:00:00,62.8,64.2,58.0,59.5,3562400
2022-09-06 12:15:00,59.45,65.05,59.45,64.0,3300200
2022-09-06 12:30:00,63.85,69.3,62.3,67.65,4359400
2022-09-06 12:45:00,68.0,71.4,65.45,67.45,4171300
2022-09-06 13:00:00,67.4,68.25,55.5,60.75,4429550
2022-09-06 13:15:00,60.2,62.8,58.0,61.4,2856800
2022-09-06 13:30:00,61.6,67.05,52.65,57.65,4504950
2022-09-06 13:45:00,57.4,58.95,49.45,57.6,4173800
2022-09-06 14:00:00,57.65,59.15,52.65,58.35,2542900
2022-09-06 14:15:00,58.45,62.5,53.55,61.6,3490350
2022-09-06 14:30:00,61.9,61.9,40.6,41.05,5842250
2022-09-06 14:45:00,41.05,47.0,39.5,42.75,6838650
2022-09-06 15:00:00,42.5,53.2,40.75,47.55,6659300
2022-09-06 15:15:00,47.4,48.3,43.1,45.2,6001450
2022-09-06 15:30:00,45.0,45.0,45.0,45.0,550
2022-09-07 09:15:00,23.85,29.85,12.3,20.3,18322453
2022-09-07 09:30:00,20.35,22.4,16.65,20.5,8985700
2022-09-07 09:45:00,20.35,21.4,17.55,18.1,6256850
2022-09-07 10:00:00,18.0,20.6,17.7,18.95,4082800
2022-09-07 10:15:00,18.85,19.2,17.0,18.5,3202450
2022-09-07 10:30:00,18.55,19.0,16.7,16.95,2644750
2022-09-07 10:45:00,17.0,17.4,14.3,14.5,4513250
2022-09-07 11:00:00,14.5,15.4,13.2,13.35,5433050
2022-09-07 11:15:00,13.3,14.4,13.05,14.25,3418150
2022-09-07 11:30:00,14.2,15.6,13.85,15.6,3122650
2022-09-07 11:45:00,15.6,23.8,15.05,22.15,7511550
2022-09-07 12:00:00,22.25,24.7,19.6,24.2,5797650
2022-09-07 12:15:00,24.25,31.0,22.05,23.6,7449650
2022-09-07 12:30:00,23.9,26.9,21.55,22.35,4179300
2022-09-07 12:45:00,22.4,22.7,18.1,22.55,4727050
2022-09-07 13:00:00,22.55,22.75,20.0,21.55,2435000
2022-09-07 13:15:00,21.65,30.1,21.65,30.05,4322650
2022-09-07 13:30:00,30.1,31.25,23.5,24.05,5289050
2022-09-07 13:45:00,23.8,26.0,20.8,24.85,4353000
2022-09-07 14:00:00,24.9,26.0,21.0,21.6,3366100
2022-09-07 14:15:00,21.55,25.6,21.35,23.25,3384500
2022-09-07 14:30:00,23.25,23.4,15.3,16.4,8603350
2022-09-07 14:45:00,16.65,19.3,16.0,17.75,5482350
2022-09-07 15:00:00,17.0,19.75,16.05,17.1,6886850
2022-09-07 15:15:00,17.05,22.3,17.05,19.95,7199400
2022-09-07 15:30:00,18.85,18.85,18.85,18.85,7800
2022-09-08 09:15:00,36.6,42.2,23.0,39.3,32766052
2022-09-08 09:30:00,38.65,46.8,33.15,38.5,22354850
2022-09-08 09:45:00,38.3,41.25,29.75,34.7,14629400
2022-09-08 10:00:00,34.65,37.95,30.05,33.55,12819450
2022-09-08 10:15:00,33.35,39.9,31.2,32.45,12599050
2022-09-08 10:30:00,32.45,33.1,19.6,24.0,15299350
2022-09-08 10:45:00,23.75,25.85,20.7,24.3,12512650
2022-09-08 11:00:00,24.2,26.55,18.6,20.1,11169550
2022-09-08 11:15:00,20.05,20.05,14.4,17.8,16964800
2022-09-08 11:30:00,17.75,20.05,15.2,18.9,12318300
2022-09-08 11:45:00,19.2,23.25,18.2,21.65,16063500
2022-09-08 12:00:00,21.3,23.65,17.4,20.5,12815250
2022-09-08 12:15:00,20.55,20.95,13.15,16.4,12865200
2022-09-08 12:30:00,16.1,22.35,15.55,16.45,17933150
2022-09-08 12:45:00,16.65,16.9,8.7,9.8,21244050
2022-09-08 13:00:00,9.9,10.35,7.0,9.0,24835700
2022-09-08 13:15:00,9.05,10.8,7.5,9.4,18758900
2022-09-08 13:30:00,9.25,10.0,6.55,8.95,19287600
2022-09-08 13:45:00,9.05,9.1,4.6,6.1,23104500
2022-09-08 14:00:00,6.05,10.0,5.05,6.2,28357500
2022-09-08 14:15:00,6.05,12.8,5.25,12.15,33962400
2022-09-08 14:30:00,12.05,13.35,7.35,9.6,47675000
2022-09-08 14:45:00,9.85,19.85,7.5,13.25,64748550
2022-09-08 15:00:00,12.55,16.5,2.35,3.7,131826250
2022-09-08 15:15:00,4.05,4.35,0.05,0.1,61624350
2022-09-08 15:30:00,0.05,0.05,0.05,0.05,46200
