datetime,open,high,low,close,volume
2023-11-12 18:15:00,5.0,5.95,3.25,4.45,4865402
2023-11-12 18:30:00,4.4,4.45,4.05,4.2,1406600
2023-11-12 18:45:00,4.15,4.25,3.95,4.1,953550
2023-11-12 19:00:00,4.1,4.15,3.0,3.2,1842400
2023-11-12 19:15:00,3.15,3.15,3.15,3.15,1750
2023-11-13 09:15:00,3.2,3.2,2.1,2.65,3792653
2023-11-13 09:30:00,2.7,2.7,2.35,2.5,1176850
2023-11-13 09:45:00,2.45,2.65,2.45,2.45,667800
2023-11-13 10:00:00,2.5,2.7,2.3,2.4,1652050
2023-11-13 10:15:00,2.4,2.65,2.05,2.55,1781400
2023-11-13 10:30:00,2.55,2.75,2.45,2.7,1220900
2023-11-13 10:45:00,2.7,2.7,2.55,2.6,353250
2023-11-13 11:00:00,2.6,2.65,2.5,2.5,244650
2023-11-13 11:15:00,2.5,2.65,2.4,2.45,323000
2023-11-13 11:30:00,2.4,2.45,2.3,2.3,364000
2023-11-13 11:45:00,2.3,2.4,2.2,2.25,495650
2023-11-13 12:00:00,2.25,2.3,2.2,2.3,143200
2023-11-13 12:15:00,2.3,2.35,2.15,2.25,300950
2023-11-13 12:30:00,2.2,2.35,2.2,2.25,238100
2023-11-13 12:45:00,2.25,2.35,2.25,2.35,119750
2023-11-13 13:00:00,2.35,2.35,2.2,2.25,177550
2023-11-13 13:15:00,2.25,2.3,2.15,2.15,328750
2023-11-13 13:30:00,2.2,2.2,2.05,2.05,545550
2023-11-13 13:45:00,2.05,2.2,2.05,2.15,515600
2023-11-13 14:00:00,2.1,2.3,2.0,2.0,867300
2023-11-13 14:15:00,1.95,2.05,1.9,2.0,691850
2023-11-13 14:30:00,2.05,2.05,1.85,1.9,314400
2023-11-13 14:45:00,1.85,1.9,1.75,1.8,365300
2023-11-13 15:00:00,1.8,1.85,1.65,1.7,852900
2023-11-13 15:15:00,1.7,1.75,1.45,1.55,1211300
2023-11-15 09:15:00,4.0,8.0,2.65,3.45,9742453
2023-11-15 09:30:00,3.45,3.55,2.55,2.7,7219750
2023-11-15 09:45:00,2.75,3.05,2.7,2.9,3034200
2023-11-15 10:00:00,2.85,2.9,2.75,2.75,1798000
2023-11-15 10:15:00,2.75,2.75,2.35,2.45,3103150
2023-11-15 10:30:00,2.45,2.45,2.2,2.25,3037650
2023-11-15 10:45:00,2.2,2.25,1.9,1.9,2877950
2023-11-15 11:00:00,1.95,2.2,1.9,1.95,1893200
2023-11-15 11:15:00,2.0,2.15,1.95,2.0,1317250
2023-11-15 11:30:00,2.0,2.15,1.95,1.95,1221700
2023-11-15 11:45:00,1.95,2.1,1.85,2.0,1906350
2023-11-15 12:00:00,2.0,2.2,2.0,2.15,1658850
2023-11-15 12:15:00,2.2,2.3,2.1,2.25,1417750
2023-11-15 12:30:00,2.25,2.25,2.0,2.05,2133700
2023-11-15 12:45:00,2.05,2.15,1.95,2.05,877050
2023-11-15 13:00:00,2.05,2.8,2.0,2.8,2870300
2023-11-15 13:15:00,2.75,4.75,2.75,4.05,10498200
2023-11-15 13:30:00,4.05,4.45,3.55,3.65,4893050
2023-11-15 13:45:00,3.65,3.75,3.3,3.5,2979750
2023-11-15 14:00:00,3.5,4.0,3.2,3.45,3516550
2023-11-15 14:15:00,3.45,3.75,3.15,3.3,2606950
2023-11-15 14:30:00,3.25,5.0,3.2,3.9,6036250
2023-11-15 14:45:00,3.9,4.0,2.3,2.3,5758100
2023-11-15 15:00:00,2.3,3.2,2.25,2.95,7062450
2023-11-15 15:15:00,2.9,3.4,2.6,2.9,14464650
2023-11-15 15:30:00,3.15,3.15,3.15,3.15,14750
2023-11-16 09:15:00,1.8,2.7,0.7,0.8,36718352
2023-11-16 09:30:00,0.8,1.35,0.7,1.15,37960000
2023-11-16 09:45:00,1.25,1.8,1.0,1.05,33614300
2023-11-16 10:00:00,1.0,1.55,0.85,1.25,31153050
2023-11-16 10:15:00,1.3,1.85,1.05,1.15,26534050
2023-11-16 10:30:00,1.1,1.4,0.95,1.35,17076500
2023-11-16 10:45:00,1.3,1.35,1.05,1.1,15082500
2023-11-16 11:00:00,1.1,16.0,1.05,15.05,137455050
2023-11-16 11:15:00,15.45,16.55,7.85,8.8,76321800
2023-11-16 11:30:00,8.7,13.2,7.2,7.7,68355750
2023-11-16 11:45:00,7.65,14.2,5.75,10.2,82485400
2023-11-16 12:00:00,10.05,10.95,7.35,8.5,58064150
2023-11-16 12:15:00,8.45,10.3,5.3,6.55,69563000
2023-11-16 12:30:00,6.35,7.1,3.4,7.05,109535550
2023-11-16 12:45:00,7.3,7.35,3.8,5.4,84662850
2023-11-16 13:00:00,5.2,5.45,3.3,3.4,73521150
2023-11-16 13:15:00,3.3,3.55,1.8,2.4,95412050
2023-11-16 13:30:00,2.4,3.5,1.75,3.1,60092050
2023-11-16 13:45:00,3.15,5.45,1.9,3.75,122555550
2023-11-16 14:00:00,3.85,4.75,2.6,3.55,128500300
2023-11-16 14:15:00,3.45,11.8,3.05,10.2,230546700
2023-11-16 14:30:00,9.8,30.0,7.85,26.75,259978500
2023-11-16 14:45:00,27.35,42.55,6.4,7.5,213880200
2023-11-16 15:00:00,7.35,8.2,0.2,0.2,78104442
2023-11-16 15:15:00,0.2,0.25,0.05,0.1,899
2023-11-16 15:30:00,0.05,0.05,0.05,0.05,2
