datetime,open,high,low,close,volume
2023-05-12 09:15:00,295.0,330.45,290.05,320.7,59451
2023-05-12 09:30:00,324.45,354.15,324.45,348.9,45700
2023-05-12 09:45:00,357.45,359.0,315.0,318.8,6300
2023-05-12 10:00:00,322.05,325.8,303.25,308.0,10250
2023-05-12 10:15:00,312.4,318.0,286.15,297.65,17450
2023-05-12 10:30:00,294.6,294.6,279.25,285.9,13700
2023-05-12 10:45:00,284.1,296.2,275.65,282.65,20100
2023-05-12 11:00:00,282.6,285.8,272.3,276.75,27650
2023-05-12 11:15:00,278.55,300.0,274.8,291.7,30750
2023-05-12 11:30:00,292.7,294.2,277.75,286.8,20150
2023-05-12 11:45:00,283.8,285.95,272.15,277.6,10950
2023-05-12 12:00:00,275.65,286.1,275.65,283.05,13350
2023-05-12 12:15:00,280.0,280.0,261.95,268.15,16100
2023-05-12 12:30:00,267.65,272.1,257.75,265.0,19000
2023-05-12 12:45:00,264.6,267.3,247.75,248.5,19650
2023-05-12 13:00:00,247.5,258.05,244.0,253.35,16550
2023-05-12 13:15:00,254.0,260.0,240.5,259.6,24050
2023-05-12 13:30:00,258.7,258.7,236.85,244.35,35850
2023-05-12 13:45:00,243.0,246.0,226.8,232.15,63150
2023-05-12 14:00:00,230.95,233.95,223.0,233.4,47150
2023-05-12 14:15:00,232.65,240.55,227.1,237.95,33500
2023-05-12 14:30:00,237.85,251.55,225.0,231.7,50950
2023-05-12 14:45:00,231.15,240.35,227.4,232.5,36850
2023-05-12 15:00:00,235.85,254.25,228.15,249.1,53700
2023-05-12 15:15:00,249.8,250.45,242.1,246.5,34400
2023-05-15 09:15:00,264.05,283.55,209.45,219.95,176552
2023-05-15 09:30:00,221.05,235.8,199.2,201.05,208800
2023-05-15 09:45:00,198.0,200.1,191.6,193.6,122300
2023-05-15 10:00:00,189.0,190.05,177.35,180.4,134950
2023-05-15 10:15:00,180.0,187.8,173.9,184.5,144800
2023-05-15 10:30:00,183.55,185.4,172.05,176.05,88000
2023-05-15 10:45:00,175.5,191.2,173.4,180.55,177250
2023-05-15 11:00:00,180.9,180.9,165.6,167.65,180350
2023-05-15 11:15:00,167.6,168.15,153.4,155.3,260300
2023-05-15 11:30:00,155.3,158.4,149.45,154.3,237350
2023-05-15 11:45:00,154.0,157.5,151.15,157.3,144150
2023-05-15 12:00:00,157.45,162.4,150.4,152.6,160700
2023-05-15 12:15:00,152.2,156.0,146.65,148.25,168250
2023-05-15 12:30:00,148.35,154.75,140.1,142.5,263000
2023-05-15 12:45:00,141.6,143.7,136.8,140.55,258600
2023-05-15 13:00:00,140.0,145.0,137.6,143.5,225800
2023-05-15 13:15:00,142.8,144.95,135.2,139.55,236550
2023-05-15 13:30:00,139.6,144.5,130.75,132.35,218000
2023-05-15 13:45:00,132.3,134.95,129.75,133.95,375000
2023-05-15 14:00:00,134.35,138.6,126.35,128.2,295000
2023-05-15 14:15:00,127.9,149.65,125.45,146.75,511250
2023-05-15 14:30:00,147.1,149.4,134.2,141.0,558950
2023-05-15 14:45:00,142.05,143.3,129.35,130.85,353450
2023-05-15 15:00:00,132.7,175.55,132.7,174.85,928550
2023-05-15 15:15:00,175.05,175.95,161.55,171.3,402850
2023-05-16 09:15:00,149.0,187.65,144.05,164.1,909102
2023-05-16 09:30:00,163.6,193.3,155.05,161.05,951450
2023-05-16 09:45:00,160.0,160.3,146.35,159.2,461100
2023-05-16 10:00:00,158.75,162.05,143.0,151.2,344300
2023-05-16 10:15:00,152.25,174.55,147.85,170.05,347250
2023-05-16 10:30:00,170.55,190.8,165.7,169.95,394750
2023-05-16 10:45:00,168.55,178.25,166.8,167.5,143700
2023-05-16 11:00:00,168.5,180.15,159.95,173.75,284700
2023-05-16 11:15:00,173.3,196.95,172.95,189.8,404150
2023-05-16 11:30:00,189.95,206.35,189.35,192.45,369300
2023-05-16 11:45:00,193.2,198.0,184.5,196.7,114350
2023-05-16 12:00:00,196.0,197.6,183.55,191.6,125100
2023-05-16 12:15:00,190.05,190.3,178.3,184.45,153700
2023-05-16 12:30:00,185.0,201.95,175.4,176.55,300900
2023-05-16 12:45:00,176.35,194.6,174.2,193.0,140950
2023-05-16 13:00:00,194.95,196.35,173.8,178.8,143400
2023-05-16 13:15:00,179.2,187.15,177.0,184.0,93800
2023-05-16 13:30:00,182.15,191.5,172.7,186.25,169700
2023-05-16 13:45:00,185.65,185.65,168.0,179.0,153550
2023-05-16 14:00:00,178.8,212.65,173.55,205.55,322650
2023-05-16 14:15:00,207.4,215.8,195.05,199.6,211500
2023-05-16 14:30:00,199.8,202.05,190.5,198.7,164550
2023-05-16 14:45:00,198.4,223.8,196.45,215.8,228700
2023-05-16 15:00:00,216.0,257.85,216.0,252.3,266800
2023-05-16 15:15:00,252.75,266.7,246.8,255.1,280150
