datetime,open,high,low,close,volume
2024-04-22 09:15:00,68.0,91.85,68.0,69.3,415151
2024-04-22 09:30:00,69.7,74.15,65.55,65.6,127700
2024-04-22 09:45:00,65.8,68.5,63.0,66.2,51300
2024-04-22 10:00:00,66.6,69.85,64.25,69.0,61800
2024-04-22 10:15:00,69.3,73.65,65.45,67.45,82550
2024-04-22 10:30:00,68.0,72.1,67.15,72.05,41000
2024-04-22 10:45:00,72.2,78.0,69.5,77.75,101450
2024-04-22 11:00:00,77.5,85.05,75.2,79.1,106300
2024-04-22 11:15:00,79.65,82.5,76.35,80.35,33050
2024-04-22 11:30:00,80.15,87.45,79.75,82.25,67800
2024-04-22 11:45:00,83.05,90.9,82.65,88.55,86700
2024-04-22 12:00:00,87.75,88.5,78.1,80.1,113350
2024-04-22 12:15:00,81.0,83.65,76.25,79.75,83950
2024-04-22 12:30:00,79.0,84.65,79.0,81.9,54000
2024-04-22 12:45:00,82.0,82.65,75.2,75.75,58050
2024-04-22 13:00:00,76.1,78.45,71.2,75.55,55200
2024-04-22 13:15:00,75.45,76.9,71.65,75.6,24000
2024-04-22 13:30:00,75.85,79.0,74.85,78.1,55600
2024-04-22 13:45:00,78.1,81.3,77.35,78.6,60700
2024-04-22 14:00:00,79.1,82.1,76.7,79.6,47800
2024-04-22 14:15:00,79.8,82.0,76.15,78.5,38600
2024-04-22 14:30:00,78.4,87.55,74.9,87.2,72650
2024-04-22 14:45:00,88.85,91.5,84.25,86.2,102650
2024-04-22 15:00:00,88.3,98.15,87.0,98.15,200100
2024-04-22 15:15:00,96.3,108.95,90.7,108.0,328100
2024-04-22 15:30:00,107.05,107.05,107.05,107.05,150
2024-04-23 09:15:00,120.15,120.15,90.1,96.8,396501
2024-04-23 09:30:00,96.65,100.0,93.15,96.95,202250
2024-04-23 09:45:00,96.75,97.1,88.2,95.6,142000
2024-04-23 10:00:00,95.15,104.4,95.0,103.55,141900
2024-04-23 10:15:00,103.45,104.0,95.2,96.9,123950
2024-04-23 10:30:00,97.5,98.1,90.1,90.5,120200
2024-04-23 10:45:00,89.3,91.35,84.7,89.3,126450
2024-04-23 11:00:00,89.8,90.5,85.4,89.8,64500
2024-04-23 11:15:00,89.1,94.0,89.1,93.0,66100
2024-04-23 11:30:00,94.0,95.0,87.35,89.0,54250
2024-04-23 11:45:00,88.5,92.0,86.9,92.0,67050
2024-04-23 12:00:00,92.1,101.55,92.0,98.75,157650
2024-04-23 12:15:00,99.4,100.75,94.05,95.15,105300
2024-04-23 12:30:00,94.7,97.4,90.45,90.65,57150
2024-04-23 12:45:00,91.1,96.3,87.8,94.8,56650
2024-04-23 13:00:00,94.8,94.8,83.3,88.4,76100
