datetime,open,high,low,close,volume
2024-10-04 09:15:00,622.9,622.95,538.75,553.4,22502
2024-10-04 09:30:00,546.45,598.8,526.75,563.6,12575
2024-10-04 09:45:00,568.25,640.0,546.0,640.0,4350
2024-10-04 10:00:00,641.6,641.6,566.0,566.0,2975
2024-10-04 10:15:00,587.75,587.75,549.0,551.0,4100
2024-10-04 10:30:00,557.05,613.4,557.05,611.8,11325
2024-10-04 10:45:00,631.15,689.65,629.0,689.65,4400
2024-10-04 11:00:00,685.9,687.4,625.85,665.0,800
2024-10-04 11:15:00,668.95,678.05,630.1,644.2,875
2024-10-04 11:30:00,649.3,659.85,627.3,659.85,725
2024-10-04 11:45:00,662.0,738.95,662.0,738.95,3800
2024-10-04 12:00:00,738.95,786.95,735.1,786.95,1325
2024-10-04 12:15:00,788.7,788.7,759.2,787.2,3000
2024-10-04 12:30:00,779.25,779.25,570.65,579.1,6750
2024-10-04 12:45:00,576.65,610.15,521.3,535.75,6750
2024-10-04 13:00:00,506.9,538.8,483.1,512.75,7450
2024-10-04 13:15:00,508.6,515.85,477.8,495.05,2950
2024-10-04 13:30:00,489.45,490.35,423.55,451.4,19650
2024-10-04 13:45:00,445.65,480.55,428.2,429.8,20950
2024-10-04 14:00:00,431.65,438.9,410.55,421.15,20375
2024-10-04 14:15:00,418.0,422.65,375.1,403.5,35425
2024-10-04 14:30:00,405.65,427.2,369.7,371.75,29975
2024-10-04 14:45:00,375.05,386.0,363.6,369.0,31000
2024-10-04 15:00:00,360.0,391.6,348.9,373.95,34975
2024-10-04 15:15:00,376.6,398.65,376.6,392.2,32200
2024-10-07 09:15:00,449.8,465.35,414.5,427.0,10926
2024-10-07 09:30:00,422.25,440.0,408.15,425.3,7300
2024-10-07 09:45:00,424.45,438.0,390.0,438.0,15050
2024-10-07 10:00:00,433.5,438.0,395.85,426.9,8650
2024-10-07 10:15:00,418.05,426.0,379.8,379.8,17550
2024-10-07 10:30:00,379.8,391.05,350.6,354.4,28425
2024-10-07 10:45:00,354.85,354.85,297.15,304.0,130675
2024-10-07 11:00:00,304.45,305.15,246.6,287.65,210175
2024-10-07 11:15:00,289.1,379.5,287.05,357.05,151975
2024-10-07 11:30:00,366.0,366.0,330.3,342.1,32150
2024-10-07 11:45:00,340.85,362.9,304.35,314.9,56450
2024-10-07 12:00:00,315.25,335.25,297.05,333.5,52550
2024-10-07 12:15:00,330.8,353.55,310.95,325.85,47975
2024-10-07 12:30:00,325.85,325.85,282.75,288.0,53925
2024-10-07 12:45:00,287.8,289.5,243.3,256.05,181600
2024-10-07 13:00:00,254.5,257.55,231.4,241.0,331500
2024-10-07 13:15:00,243.45,260.6,222.4,248.4,489900
2024-10-07 13:30:00,249.3,252.05,197.0,208.55,1056100
2024-10-07 13:45:00,209.15,236.1,192.5,228.35,1451775
2024-10-07 14:00:00,227.6,253.7,218.45,219.55,998125
2024-10-07 14:15:00,216.7,224.75,190.3,193.75,1082075
2024-10-07 14:30:00,195.0,235.4,193.85,235.4,1385525
2024-10-07 14:45:00,232.85,273.05,214.2,228.75,1093825
2024-10-07 15:00:00,227.65,250.1,211.05,215.05,606450
2024-10-07 15:15:00,214.55,245.0,213.65,232.75,495825
2024-10-07 15:30:00,232.75,232.75,232.75,232.75,25
2024-10-08 09:15:00,228.0,254.6,219.25,245.75,1306478
2024-10-08 09:30:00,246.35,251.5,196.4,218.9,1348075
2024-10-08 09:45:00,219.45,282.6,219.45,246.5,1281425
2024-10-08 10:00:00,248.6,260.1,215.2,224.35,687075
2024-10-08 10:15:00,224.2,257.3,211.9,255.1,682725
2024-10-08 10:30:00,253.85,292.3,253.85,274.3,566525
2024-10-08 10:45:00,274.6,278.5,242.25,251.55,335975
2024-10-08 11:00:00,251.0,300.0,244.55,282.9,324550
2024-10-08 11:15:00,283.65,306.7,267.95,303.75,238125
2024-10-08 11:30:00,302.65,319.35,282.4,290.4,241925
2024-10-08 11:45:00,291.5,300.7,248.9,269.9,200300
2024-10-08 12:00:00,272.95,272.95,239.1,261.5,243150
2024-10-08 12:15:00,261.0,279.4,250.05,260.4,154550
2024-10-08 12:30:00,259.5,259.7,230.1,235.75,166350
2024-10-08 12:45:00,237.1,243.35,210.35,225.5,280725
2024-10-08 13:00:00,224.6,292.65,218.75,284.2,391275
2024-10-08 13:15:00,283.25,285.35,248.9,263.7,175350
2024-10-08 13:30:00,266.15,317.45,264.85,296.2,206725
2024-10-08 13:45:00,297.15,334.6,296.45,317.6,142975
2024-10-08 14:00:00,319.55,350.0,318.3,338.1,144850
2024-10-08 14:15:00,341.95,351.5,316.4,335.0,69250
2024-10-08 14:30:00,333.7,334.65,255.85,262.1,114050
2024-10-08 14:45:00,263.2,275.7,225.0,259.05,242550
2024-10-08 15:00:00,258.45,296.0,254.75,282.5,259575
2024-10-08 15:15:00,284.35,309.8,282.3,303.4,129425
2024-10-08 15:30:00,304.0,304.0,304.0,304.0,25
