datetime,open,high,low,close,volume
2024-10-21 09:15:00,35.1,41.7,30.0,41.2,246601
2024-10-21 09:30:00,41.55,64.65,40.5,60.1,339300
2024-10-21 09:45:00,59.7,84.75,59.7,65.4,388400
2024-10-21 10:00:00,65.7,66.85,42.6,55.1,296200
2024-10-21 10:15:00,54.8,59.8,51.1,54.2,64050
2024-10-21 10:30:00,54.85,62.2,53.25,56.3,47950
2024-10-21 10:45:00,54.65,56.55,50.65,52.6,24925
2024-10-21 11:00:00,52.0,56.55,48.1,53.9,48300
2024-10-21 11:15:00,54.75,59.05,53.65,55.4,30950
2024-10-21 11:30:00,54.85,68.25,54.85,63.05,55850
2024-10-21 11:45:00,63.1,70.0,62.3,70.0,42000
2024-10-21 12:00:00,70.35,74.2,64.9,74.2,81950
2024-10-21 12:15:00,73.95,76.9,63.0,65.2,95775
2024-10-21 12:30:00,64.85,69.65,62.95,64.1,26300
2024-10-21 12:45:00,63.95,73.25,63.95,71.05,53450
2024-10-21 13:00:00,71.65,73.3,64.45,64.7,33250
2024-10-21 13:15:00,64.3,64.3,51.55,61.7,117525
2024-10-21 13:30:00,61.3,61.5,56.3,57.05,34550
2024-10-21 13:45:00,57.8,58.7,46.0,46.0,56275
2024-10-21 14:00:00,45.1,53.0,41.85,52.1,75325
2024-10-21 14:15:00,51.95,52.7,46.4,48.3,30075
2024-10-21 14:30:00,48.0,50.55,44.3,49.5,58350
2024-10-21 14:45:00,48.7,54.45,48.7,52.5,43350
2024-10-21 15:00:00,52.35,60.2,51.05,54.85,73200
2024-10-21 15:15:00,54.6,65.85,54.6,65.0,188300
2024-10-22 09:15:00,55.0,60.6,44.0,47.6,200678
2024-10-22 09:30:00,47.2,48.45,39.6,40.4,105500
2024-10-22 09:45:00,40.4,42.0,38.25,38.4,90950
2024-10-22 10:00:00,38.35,55.25,35.8,53.05,162775
2024-10-22 10:15:00,53.1,80.65,49.5,80.65,230175
2024-10-22 10:30:00,81.0,81.9,64.75,73.85,341500
2024-10-22 10:45:00,73.95,76.35,55.65,59.65,132725
2024-10-22 11:00:00,59.35,63.85,56.4,59.3,127225
2024-10-22 11:15:00,59.95,70.85,58.65,66.8,85300
2024-10-22 11:30:00,66.6,80.75,60.65,77.25,132250
2024-10-22 11:45:00,77.0,80.55,67.3,68.3,161425
2024-10-22 12:00:00,67.85,74.15,64.55,72.0,87250
2024-10-22 12:15:00,71.9,77.25,61.0,75.75,97925
2024-10-22 12:30:00,76.2,83.05,71.3,76.45,153575
2024-10-22 12:45:00,76.35,87.65,76.15,80.2,116000
2024-10-22 13:00:00,80.15,90.0,79.15,79.9,204800
2024-10-22 13:15:00,80.15,95.45,80.0,89.85,177600
2024-10-22 13:30:00,89.45,92.2,82.55,87.75,96150
2024-10-22 13:45:00,88.0,90.7,77.5,81.95,78575
2024-10-22 14:00:00,81.75,91.15,74.35,76.6,123850
2024-10-22 14:15:00,75.35,94.6,75.35,90.4,126200
2024-10-22 14:30:00,90.7,97.4,87.9,92.1,194950
2024-10-22 14:45:00,92.2,107.05,90.4,99.85,354825
2024-10-22 15:00:00,100.45,126.0,100.45,125.75,750050
2024-10-22 15:15:00,124.5,125.5,111.05,119.7,529200
2024-10-23 09:15:00,138.25,139.95,101.9,112.0,925277
2024-10-23 09:30:00,112.0,147.6,112.0,138.75,516200
2024-10-23 09:45:00,138.15,138.15,99.05,107.0,724925
2024-10-23 10:00:00,106.85,115.45,95.85,103.2,324700
2024-10-23 10:15:00,103.25,122.3,91.0,109.25,335125
2024-10-23 10:30:00,109.25,109.75,92.45,106.85,211675
2024-10-23 10:45:00,107.05,107.8,91.45,92.95,180250
2024-10-23 11:00:00,93.55,93.9,77.15,85.4,474750
2024-10-23 11:15:00,86.55,90.4,81.4,83.45,127650
2024-10-23 11:30:00,83.35,85.5,76.0,80.45,110450
2024-10-23 11:45:00,80.95,83.1,74.25,81.25,175450
2024-10-23 12:00:00,81.3,96.55,77.85,94.05,131800
2024-10-23 12:15:00,94.0,106.55,94.0,94.75,223575
2024-10-23 12:30:00,94.4,96.2,83.45,85.5,117950
2024-10-23 12:45:00,85.75,87.05,78.3,83.0,138600
2024-10-23 13:00:00,82.75,91.6,82.2,88.1,95550
2024-10-23 13:15:00,87.55,92.0,85.8,89.4,69650
2024-10-23 13:30:00,89.1,97.2,82.2,85.95,171250
