datetime,open,high,low,close,volume
2025-07-07 09:15:00,45.85,46.3,31.4,34.9,10019475
2025-07-07 09:30:00,34.7,52.4,32.6,40.15,9907425
2025-07-07 09:45:00,40.1,47.9,36.6,40.35,6595800
2025-07-07 10:00:00,40.9,43.35,33.95,36.1,5605725
2025-07-07 10:15:00,36.4,37.6,34.6,35.25,3806925
2025-07-07 10:30:00,35.35,40.2,34.6,37.75,3671850
2025-07-07 10:45:00,37.7,44.4,37.2,43.9,4719225
2025-07-07 11:00:00,43.95,46.55,38.2,38.85,4950225
2025-07-07 11:15:00,38.5,39.5,37.1,38.0,2151825
2025-07-07 11:30:00,37.9,38.4,35.55,37.35,2571825
2025-07-07 11:45:00,37.3,37.8,35.1,36.45,2122200
2025-07-07 12:00:00,36.3,37.5,33.25,33.6,3462225
2025-07-07 12:15:00,33.55,37.7,31.75,36.6,3458625
2025-07-07 12:30:00,36.5,37.25,34.2,35.8,2088675
2025-07-07 12:45:00,35.5,35.65,31.7,32.05,1947675
2025-07-07 13:00:00,31.95,36.8,31.0,36.15,2624025
2025-07-07 13:15:00,36.0,39.65,35.3,36.35,3119550
2025-07-07 13:30:00,36.2,37.95,33.9,35.3,1916325
2025-07-07 13:45:00,35.35,38.3,33.25,35.05,2991150
2025-07-07 14:00:00,35.2,40.6,35.0,35.9,3318000
2025-07-07 14:15:00,35.95,38.9,34.7,36.3,2437875
2025-07-07 14:30:00,36.5,37.0,31.15,32.2,3843900
2025-07-07 14:45:00,32.15,34.7,31.85,34.65,2156925
2025-07-07 15:00:00,34.85,36.9,33.95,36.8,3762225
2025-07-07 15:15:00,37.0,37.75,35.05,37.1,4484025
2025-07-07 15:30:00,37.35,37.35,37.35,37.35,9600
2025-07-08 09:15:00,31.0,35.45,25.5,29.6,13222650
2025-07-08 09:30:00,29.7,34.4,25.55,25.8,6942000
2025-07-08 09:45:00,26.05,29.2,25.0,25.15,4651875
2025-07-08 10:00:00,25.1,25.25,21.65,22.7,6205800
2025-07-08 10:15:00,22.65,24.35,20.65,21.0,3245400
2025-07-08 10:30:00,21.2,22.25,19.85,20.95,2917275
2025-07-08 10:45:00,21.05,21.55,18.85,20.2,2563500
2025-07-08 11:00:00,20.35,20.75,18.05,18.75,2202375
2025-07-08 11:15:00,18.8,19.05,17.4,18.2,2037075
2025-07-08 11:30:00,18.25,19.0,16.5,16.65,2227200
2025-07-08 11:45:00,16.6,18.6,16.35,18.3,1625400
2025-07-08 12:00:00,18.2,20.0,17.6,19.1,2026050
2025-07-08 12:15:00,19.0,22.5,18.95,20.8,2874375
2025-07-08 12:30:00,20.75,23.1,18.7,19.4,4684350
2025-07-08 12:45:00,19.3,21.45,18.85,20.3,2552100
2025-07-08 13:00:00,20.4,22.55,19.7,20.05,2613525
2025-07-08 13:15:00,20.1,20.9,19.05,20.15,1571850
2025-07-08 13:30:00,20.2,20.2,17.8,18.75,1925475
2025-07-08 13:45:00,18.65,20.7,18.65,20.55,1813200
2025-07-08 14:00:00,20.5,20.55,17.05,18.4,2196450
2025-07-08 14:15:00,18.35,18.55,16.8,17.2,1959000
2025-07-08 14:30:00,17.15,18.85,17.05,17.8,1647000
2025-07-08 14:45:00,17.9,22.25,17.65,21.75,3101925
2025-07-08 15:00:00,21.65,39.65,21.3,36.65,18914850
2025-07-08 15:15:00,35.65,37.9,32.35,33.7,9416250
2025-07-08 15:30:00,34.0,34.0,34.0,34.0,8550
2025-07-09 09:15:00,27.0,27.0,13.75,14.45,21871725
2025-07-09 09:30:00,14.35,16.6,13.35,13.65,10195125
2025-07-09 09:45:00,13.6,21.2,13.1,20.15,11826075
2025-07-09 10:00:00,20.0,24.45,16.75,23.35,16855500
2025-07-09 10:15:00,23.25,26.2,19.5,19.7,13787925
2025-07-09 10:30:00,19.6,21.75,18.9,21.2,6802050
2025-07-09 10:45:00,21.35,22.35,19.05,19.15,6147000
2025-07-09 11:00:00,19.35,21.65,17.15,21.4,6027900
2025-07-09 11:15:00,21.25,24.95,20.8,22.65,9004575
2025-07-09 11:30:00,22.5,23.95,19.3,19.85,6713325
2025-07-09 11:45:00,19.95,20.25,16.2,17.8,7140900
2025-07-09 12:00:00,17.75,20.45,17.0,20.05,5855700
2025-07-09 12:15:00,20.0,20.8,18.6,20.1,6897525
2025-07-09 12:30:00,20.25,22.35,18.85,19.0,7036050
2025-07-09 12:45:00,19.05,19.9,17.9,18.7,5633775
2025-07-09 13:00:00,18.65,19.4,15.9,18.5,10567725
2025-07-09 13:15:00,18.45,19.25,17.7,18.45,5172225
2025-07-09 13:30:00,18.5,18.95,16.85,17.4,3539550
2025-07-09 13:45:00,17.45,18.7,16.8,18.15,4284375
2025-07-09 14:00:00,18.2,18.6,16.6,17.8,3733650
2025-07-09 14:15:00,17.85,18.7,12.1,12.8,12426150
2025-07-09 14:30:00,12.9,13.8,11.3,12.85,15108750
2025-07-09 14:45:00,12.9,13.75,11.4,13.75,10855950
2025-07-09 15:00:00,13.85,15.2,13.1,13.6,11566875
2025-07-09 15:15:00,13.8,14.4,10.85,11.15,11502450
2025-07-09 15:30:00,11.25,11.25,11.25,11.25,15075
