datetime,open,high,low,close,volume
2025-02-10 09:15:00,55.7,61.05,55.7,59.65,6300
2025-02-10 09:30:00,59.75,67.9,59.75,66.85,37875
2025-02-10 09:45:00,66.55,66.55,58.0,60.15,4725
2025-02-10 10:00:00,60.9,77.5,58.45,75.75,8100
2025-02-10 10:15:00,75.7,79.75,71.5,74.05,4575
2025-02-10 10:30:00,72.75,74.0,67.35,69.5,4800
2025-02-10 10:45:00,70.4,74.25,67.9,67.9,2250
2025-02-10 11:00:00,68.9,70.25,67.85,70.25,4350
2025-02-10 11:15:00,70.25,73.65,69.9,71.75,2475
2025-02-10 11:30:00,71.5,71.5,69.1,69.45,2325
2025-02-10 11:45:00,69.05,74.55,68.85,73.8,8850
2025-02-10 12:00:00,76.65,81.0,76.4,79.0,3000
2025-02-10 12:15:00,77.05,79.85,73.0,73.0,1425
2025-02-10 12:30:00,74.05,76.15,72.0,74.0,6300
2025-02-10 12:45:00,72.7,75.6,71.75,74.75,1350
2025-02-10 13:00:00,75.45,76.15,75.45,76.15,375
2025-02-10 13:15:00,75.85,79.0,73.45,73.75,2175
2025-02-10 13:30:00,74.55,78.9,74.35,74.35,3000
2025-02-10 13:45:00,74.55,74.55,70.4,73.2,3000
2025-02-10 14:00:00,73.45,75.3,73.45,75.0,1575
2025-02-10 14:15:00,76.05,78.2,74.55,77.9,1500
2025-02-10 14:30:00,73.05,73.05,64.25,67.65,2775
2025-02-10 14:45:00,69.0,69.0,64.5,64.9,5100
2025-02-10 15:00:00,63.3,68.75,63.3,68.65,1725
2025-02-10 15:15:00,69.1,70.35,68.25,70.1,12225
2025-02-10 15:30:00,70.1,70.1,70.1,70.1,0
2025-02-11 09:15:00,73.95,86.1,73.95,85.0,22350
2025-02-11 09:30:00,81.0,81.7,75.05,75.05,4875
2025-02-11 09:45:00,75.0,83.2,75.0,80.55,4200
2025-02-11 10:00:00,80.35,85.0,79.4,84.6,6600
2025-02-11 10:15:00,84.25,84.55,77.6,77.6,8325
2025-02-11 10:30:00,79.1,83.4,79.1,83.4,11400
2025-02-11 10:45:00,85.05,85.1,81.2,81.3,6150
2025-02-11 11:00:00,80.1,81.35,77.55,79.45,7725
2025-02-11 11:15:00,79.7,81.0,75.9,81.0,2925
2025-02-11 11:30:00,82.5,83.6,80.25,80.25,5925
2025-02-11 11:45:00,80.2,83.3,79.85,83.1,3825
2025-02-11 12:00:00,82.55,82.8,80.85,81.2,4050
2025-02-11 12:15:00,82.6,83.55,81.25,81.55,9000
2025-02-11 12:30:00,81.5,83.35,81.5,82.4,2475
2025-02-11 12:45:00,82.4,103.95,82.4,100.4,20700
2025-02-11 13:00:00,100.8,154.45,100.8,152.25,47100
2025-02-11 13:15:00,152.7,152.75,123.35,143.55,34425
2025-02-11 13:30:00,145.55,147.65,128.75,129.95,11550
2025-02-11 13:45:00,129.95,143.5,129.95,141.85,4275
2025-02-11 14:00:00,140.95,160.55,135.1,135.2,29850
2025-02-11 14:15:00,134.95,150.25,134.95,144.0,13350
2025-02-11 14:30:00,145.7,145.75,138.05,138.25,3675
2025-02-11 14:45:00,136.4,136.4,114.95,128.95,12075
2025-02-11 15:00:00,127.45,127.75,120.0,123.75,7125
2025-02-11 15:15:00,124.9,131.55,122.5,130.65,12825
2025-02-11 15:45:00,130.65,130.65,130.65,130.65,0
2025-02-12 09:15:00,131.0,147.0,128.85,147.0,31200
2025-02-12 09:30:00,147.2,170.5,145.45,162.8,37800
2025-02-12 09:45:00,163.8,203.35,163.8,198.0,32775
2025-02-12 10:00:00,198.9,208.75,180.85,194.95,36150
2025-02-12 10:15:00,196.9,212.8,178.9,184.55,18375
2025-02-12 10:30:00,185.1,186.75,160.35,183.05,13050
2025-02-12 10:45:00,182.3,182.6,153.3,162.05,30300
2025-02-12 11:00:00,162.9,183.0,158.35,163.95,32775
2025-02-12 11:15:00,168.9,168.9,158.65,160.45,9825
2025-02-12 11:30:00,161.25,171.35,138.75,138.75,19500
2025-02-12 11:45:00,137.0,146.45,118.35,126.2,24075
2025-02-12 12:00:00,122.85,137.0,122.85,132.55,7125
2025-02-12 12:15:00,132.15,143.05,132.15,139.6,5625
2025-02-12 12:30:00,131.75,134.65,122.2,129.15,10275
2025-02-12 12:45:00,127.15,127.35,112.15,121.05,20175
2025-02-12 13:00:00,121.35,126.05,106.75,110.95,10350
2025-02-12 13:15:00,111.05,112.8,103.2,105.55,9525
2025-02-12 13:30:00,104.3,116.5,97.55,104.7,13050
2025-02-12 13:45:00,109.1,133.85,107.3,132.5,8175
2025-02-12 14:00:00,132.1,146.05,124.0,131.2,10650
