datetime,open,high,low,close,volume
2026-02-09 09:15:00,81.0,81.05,67.1,74.25,902330
2026-02-09 09:30:00,73.95,75.05,65.25,66.5,330785
2026-02-09 09:45:00,66.4,69.95,66.1,68.85,292955
2026-02-09 10:00:00,68.95,72.2,65.05,66.2,261040
2026-02-09 10:15:00,66.3,71.25,65.1,69.3,154960
2026-02-09 10:30:00,69.05,77.1,68.6,76.85,345345
2026-02-09 10:45:00,76.7,82.7,74.1,81.95,370825
2026-02-09 11:00:00,81.85,82.35,77.5,78.95,320710
2026-02-09 11:15:00,78.75,81.45,77.0,79.8,132600
2026-02-09 11:30:00,79.75,80.75,73.25,75.85,162565
2026-02-09 11:45:00,75.55,76.1,69.25,71.35,163280
2026-02-09 12:00:00,71.5,76.7,70.55,75.6,115505
2026-02-09 12:15:00,76.0,77.4,73.35,73.85,59605
2026-02-09 12:30:00,73.65,74.0,69.8,70.55,112905
2026-02-09 12:45:00,70.3,72.2,66.7,70.9,158990
2026-02-09 13:00:00,70.6,74.7,70.3,73.1,161525
2026-02-09 13:15:00,73.25,74.4,69.3,69.4,149240
2026-02-09 13:30:00,69.8,73.85,68.5,72.3,89830
2026-02-09 13:45:00,72.25,74.1,70.8,71.45,87685
2026-02-09 14:00:00,71.1,73.45,68.15,69.9,186485
2026-02-09 14:15:00,69.7,74.4,69.2,74.3,121290
2026-02-09 14:30:00,74.4,74.7,68.7,70.6,130715
2026-02-09 14:45:00,70.8,73.35,69.45,73.0,154375
2026-02-09 15:00:00,72.8,76.95,72.1,74.7,280540
2026-02-09 15:15:00,74.45,76.2,72.4,73.35,495105
2026-02-10 09:15:00,89.55,89.55,75.0,80.65,1182025
2026-02-10 09:30:00,81.05,93.8,78.1,93.0,1011075
2026-02-10 09:45:00,93.2,97.95,85.65,92.6,947635
2026-02-10 10:00:00,93.0,96.8,89.25,90.6,651495
2026-02-10 10:15:00,90.75,99.3,90.4,94.35,473850
2026-02-10 10:30:00,94.0,100.35,93.45,96.0,891475
2026-02-10 10:45:00,95.9,98.65,94.0,95.45,528710
2026-02-10 11:00:00,95.4,98.6,94.6,96.55,323830
2026-02-10 11:15:00,97.0,97.95,90.0,92.95,372450
2026-02-10 11:30:00,92.85,94.65,90.0,91.8,325780
2026-02-10 11:45:00,91.1,96.5,89.0,95.5,443495
2026-02-10 12:00:00,95.55,96.45,93.1,95.25,328705
2026-02-10 12:15:00,95.5,97.9,92.65,93.2,383305
2026-02-10 12:30:00,93.35,94.35,90.5,94.3,349310
2026-02-10 12:45:00,94.35,103.45,94.35,100.0,1376635
2026-02-10 13:00:00,99.9,100.65,94.8,97.1,819650
2026-02-10 13:15:00,97.05,98.5,80.7,83.2,1510990
2026-02-10 13:30:00,83.0,83.55,73.9,80.3,1513330
2026-02-10 13:45:00,80.05,82.15,75.55,75.55,846365
2026-02-10 14:00:00,75.75,77.7,70.9,77.7,993265
2026-02-10 14:15:00,77.45,80.4,73.8,75.7,807365
2026-02-10 14:30:00,75.4,77.4,72.25,75.6,637000
2026-02-10 14:45:00,75.95,79.35,75.65,77.45,704730
2026-02-10 15:00:00,78.6,81.0,75.45,76.95,1700400
2026-02-10 15:15:00,77.05,78.7,70.5,71.0,1682265
2026-02-10 15:30:00,71.0,71.0,71.0,71.0,2535
2026-02-11 09:15:00,82.5,95.45,82.5,86.0,10891140
2026-02-11 09:30:00,85.95,87.45,72.0,74.2,7886775
2026-02-11 09:45:00,74.05,77.35,70.45,72.95,6034405
2026-02-11 10:00:00,72.75,72.75,64.45,67.55,6297980
2026-02-11 10:15:00,67.7,76.7,66.95,75.4,6193005
2026-02-11 10:30:00,75.6,81.55,72.7,77.55,6734715
2026-02-11 10:45:00,77.35,80.25,71.0,73.15,4566965
2026-02-11 11:00:00,73.0,75.95,65.15,68.1,5483205
2026-02-11 11:15:00,68.2,72.25,66.55,69.2,3613870
2026-02-11 11:30:00,69.4,76.45,66.8,67.25,3948750
2026-02-11 11:45:00,67.5,69.1,64.15,64.3,2748980
2026-02-11 12:00:00,64.4,67.9,60.1,65.25,4156490
2026-02-11 12:15:00,65.1,65.45,60.65,61.85,2455310
2026-02-11 12:30:00,61.9,62.9,53.15,56.3,4794465
2026-02-11 12:45:00,56.2,59.0,54.1,57.75,3300765
2026-02-11 13:00:00,57.65,58.1,54.35,56.3,2305225
2026-02-11 13:15:00,56.35,61.75,55.65,61.65,3121820
2026-02-11 13:30:00,61.85,68.9,60.0,63.8,5927415
