datetime,open,high,low,close,volume
2026-03-02 09:15:00,2000.0,2000.0,1503.1,1683.3,91360
2026-03-02 09:30:00,1677.15,1914.2,1665.35,1861.15,12120
2026-03-02 09:45:00,1864.2,1922.9,1641.7,1798.0,4720
2026-03-02 10:00:00,1800.65,1800.65,1577.4,1608.1,3440
2026-03-02 10:15:00,1619.4,1623.0,1542.0,1542.0,2020
2026-03-02 10:30:00,1540.35,1611.2,1420.0,1420.0,4280
2026-03-02 10:45:00,1410.35,1537.7,1410.35,1523.25,2200
2026-03-02 11:00:00,1521.0,1562.0,1448.4,1460.8,3740
2026-03-02 11:15:00,1470.0,1470.0,1350.0,1360.05,8640
2026-03-02 11:30:00,1353.55,1401.9,1348.45,1381.3,1500
2026-03-02 11:45:00,1367.35,1431.05,1301.0,1306.2,5000
2026-03-02 12:00:00,1268.75,1282.9,1205.4,1205.4,11160
2026-03-02 12:15:00,1200.0,1223.15,1145.0,1175.0,20780
2026-03-02 12:30:00,1177.7,1184.0,1070.8,1076.0,17400
2026-03-02 12:45:00,1068.3,1130.25,1062.25,1105.75,15700
2026-03-02 13:00:00,1111.2,1127.95,1091.2,1103.85,7260
2026-03-02 13:15:00,1125.45,1133.55,1051.15,1068.7,8940
2026-03-02 13:30:00,1069.1,1093.7,1020.65,1059.75,15180
2026-03-02 13:45:00,1055.15,1060.0,946.4,967.5,50720
2026-03-02 14:00:00,964.25,1379.95,950.0,1347.7,73420
2026-03-02 14:15:00,1363.25,1363.25,1210.45,1222.6,61240
2026-03-02 14:30:00,1226.6,1541.3,1195.85,1495.25,26900
2026-03-02 14:45:00,1510.8,1575.85,1372.0,1392.75,33940
2026-03-02 15:00:00,1388.95,1550.0,1337.5,1550.0,17900
2026-03-02 15:15:00,1560.0,1569.05,1431.7,1534.4,20620
2026-03-04 09:15:00,663.45,663.45,358.0,408.0,4532240
2026-03-04 09:30:00,409.45,474.35,371.0,470.75,3164980
2026-03-04 09:45:00,469.0,472.0,361.6,361.6,3034600
2026-03-04 10:00:00,361.65,491.0,345.75,484.55,3428860
2026-03-04 10:15:00,488.2,556.0,446.9,513.6,3875100
2026-03-04 10:30:00,513.55,519.0,440.25,457.6,2003940
2026-03-04 10:45:00,459.65,515.55,424.75,454.55,1891000
2026-03-04 11:00:00,458.65,591.6,450.0,540.9,3680940
2026-03-04 11:15:00,537.75,545.0,424.5,434.0,2488100
2026-03-04 11:30:00,434.75,454.35,406.0,411.0,1948260
2026-03-04 11:45:00,411.15,460.0,401.15,427.7,1810020
2026-03-04 12:00:00,427.45,462.8,419.85,427.3,1672420
2026-03-04 12:15:00,431.25,447.25,403.45,418.95,1271660
2026-03-04 12:30:00,419.05,440.75,392.6,426.0,1445980
2026-03-04 12:45:00,427.85,519.4,420.05,496.85,2324320
2026-03-04 13:00:00,503.8,587.1,475.65,585.45,3896940
2026-03-04 13:15:00,586.8,627.1,518.0,557.6,3997400
2026-03-04 13:30:00,557.1,596.5,515.15,573.8,3089320
2026-03-04 13:45:00,572.9,573.2,487.35,517.6,2710740
2026-03-04 14:00:00,521.5,791.9,520.0,791.9,4209800
2026-03-04 14:15:00,799.0,841.1,684.3,695.9,2025740
2026-03-04 14:30:00,695.6,901.2,661.6,876.15,1594440
2026-03-04 14:45:00,884.35,943.85,810.35,874.0,904760
2026-03-04 15:00:00,878.7,879.8,586.15,608.55,1750320
2026-03-04 15:15:00,603.15,655.2,569.95,636.05,1639420
2026-03-04 15:30:00,637.15,637.15,637.15,637.15,340
