datetime,open,high,low,close,volume
2026-02-06 09:15:00,168.7,168.7,117.15,117.7,581300
2026-02-06 09:30:00,117.35,119.1,106.1,107.4,114480
2026-02-06 09:45:00,107.1,114.2,104.6,111.15,84780
2026-02-06 10:00:00,110.3,112.95,86.3,89.0,139540
2026-02-06 10:15:00,89.4,99.2,84.4,85.1,113320
2026-02-06 10:30:00,84.0,91.0,82.25,84.45,85460
2026-02-06 10:45:00,83.9,87.65,80.35,84.6,70540
2026-02-06 11:00:00,84.9,100.45,84.65,100.0,148160
2026-02-06 11:15:00,100.55,109.05,94.4,105.35,201200
2026-02-06 11:30:00,104.65,151.0,101.0,129.55,312200
2026-02-06 11:45:00,129.1,143.5,122.85,133.75,150800
2026-02-06 12:00:00,133.25,152.85,110.45,120.1,250740
2026-02-06 12:15:00,121.0,121.4,94.15,99.75,145540
2026-02-06 12:30:00,99.2,99.8,86.3,92.8,100840
2026-02-06 12:45:00,93.4,99.15,89.1,97.3,92840
2026-02-06 13:00:00,97.15,100.35,91.0,97.55,97720
2026-02-06 13:15:00,97.0,100.25,93.1,95.3,54140
2026-02-06 13:30:00,94.9,110.45,87.6,104.2,123260
2026-02-06 13:45:00,104.0,131.0,100.55,125.0,199140
2026-02-06 14:00:00,125.25,133.7,113.9,115.75,126520
2026-02-06 14:15:00,114.65,129.0,106.4,111.55,151380
2026-02-06 14:30:00,111.6,140.7,108.9,137.7,202780
2026-02-06 14:45:00,139.95,150.0,128.15,144.95,199460
2026-02-06 15:00:00,144.8,154.85,138.65,151.05,216220
2026-02-06 15:15:00,151.5,160.0,143.0,157.2,174940
2026-02-06 15:30:00,158.6,158.6,158.6,158.6,40
2026-02-09 09:15:00,255.2,324.55,227.4,251.85,750880
2026-02-09 09:30:00,250.25,256.65,210.25,212.05,321800
2026-02-09 09:45:00,211.0,234.1,209.35,230.6,336300
2026-02-09 10:00:00,230.1,243.4,207.65,211.45,360560
2026-02-09 10:15:00,211.5,230.7,205.9,220.1,247860
2026-02-09 10:30:00,218.0,251.05,216.55,246.4,401780
2026-02-09 10:45:00,247.0,270.15,238.9,264.95,496660
2026-02-09 11:00:00,263.85,268.55,246.4,251.15,302540
2026-02-09 11:15:00,251.35,261.35,244.05,248.8,217340
2026-02-09 11:30:00,247.65,256.55,225.4,234.55,372360
2026-02-09 11:45:00,234.5,238.0,210.5,215.75,330840
2026-02-09 12:00:00,216.55,245.0,214.5,238.85,295720
2026-02-09 12:15:00,240.0,246.75,226.9,228.0,239040
2026-02-09 12:30:00,228.15,230.1,210.75,213.25,229900
2026-02-09 12:45:00,212.5,217.75,196.95,213.5,266260
2026-02-09 13:00:00,212.65,231.15,211.65,222.2,266400
2026-02-09 13:15:00,222.55,228.65,204.75,206.35,180020
2026-02-09 13:30:00,207.25,229.5,203.7,221.4,157800
2026-02-09 13:45:00,221.85,227.55,211.35,211.35,192560
2026-02-09 14:00:00,211.55,224.7,205.25,210.85,206340
2026-02-09 14:15:00,210.45,229.5,208.7,221.35,254680
2026-02-09 14:30:00,223.0,225.35,204.05,212.8,268160
2026-02-09 14:45:00,215.8,225.6,209.0,222.35,313760
2026-02-09 15:00:00,223.4,238.2,221.35,231.7,428160
2026-02-09 15:15:00,231.25,233.15,215.65,218.1,341100
2026-02-10 09:15:00,250.0,270.95,218.1,253.25,1272640
2026-02-10 09:30:00,255.1,304.7,241.05,300.45,1465160
2026-02-10 09:45:00,300.9,329.1,275.9,301.9,1421700
2026-02-10 10:00:00,301.7,325.0,290.9,293.35,1266080
2026-02-10 10:15:00,294.35,333.1,292.4,311.0,1035600
2026-02-10 10:30:00,310.5,337.55,307.1,312.45,1126380
2026-02-10 10:45:00,312.9,328.4,305.35,310.1,765460
2026-02-10 11:00:00,310.15,325.0,307.85,314.15,539040
2026-02-10 11:15:00,314.6,318.4,294.35,301.3,678920
2026-02-10 11:30:00,301.85,310.55,288.95,297.0,547100
2026-02-10 11:45:00,297.3,318.65,287.5,314.2,742660
2026-02-10 12:00:00,313.55,318.0,299.2,309.7,516100
2026-02-10 12:15:00,309.95,316.35,292.15,293.55,580220
2026-02-10 12:30:00,294.15,302.8,289.3,301.95,577720
2026-02-10 12:45:00,302.15,347.8,301.5,315.2,1687900
2026-02-10 13:00:00,317.65,320.0,292.4,311.0,971560
2026-02-10 13:15:00,310.55,317.4,244.3,253.25,1571340
2026-02-10 13:30:00,252.4,255.05,220.45,242.0,1098220
2026-02-10 13:45:00,241.7,249.25,222.25,223.0,792780
2026-02-10 14:00:00,221.95,229.2,198.95,225.2,986700
2026-02-10 14:15:00,224.55,242.45,219.45,227.05,860440
2026-02-10 14:30:00,226.9,235.5,210.75,222.2,921520
2026-02-10 14:45:00,228.15,251.55,225.35,242.15,939740
2026-02-10 15:00:00,240.35,259.2,227.55,230.8,1491340
2026-02-10 15:15:00,231.9,231.9,202.5,203.4,1013620
2026-02-10 15:30:00,204.0,204.0,204.0,204.0,260
2026-02-11 09:15:00,252.35,273.35,234.6,235.25,6104180
2026-02-11 09:30:00,236.1,240.0,179.9,183.6,5851740
2026-02-11 09:45:00,183.75,197.2,165.4,178.05,4411480
2026-02-11 10:00:00,176.0,177.0,146.9,160.75,3996760
2026-02-11 10:15:00,162.1,194.0,159.05,190.4,4873180
2026-02-11 10:30:00,191.55,208.9,177.3,195.45,5366360
2026-02-11 10:45:00,195.05,204.9,168.75,177.15,4174880
2026-02-11 11:00:00,177.5,188.3,144.2,156.25,4789660
2026-02-11 11:15:00,156.65,172.15,145.75,157.45,3637040
2026-02-11 11:30:00,158.85,187.75,150.55,154.2,4260560
2026-02-11 11:45:00,153.4,159.35,142.85,144.45,3021440
2026-02-11 12:00:00,144.6,155.7,131.8,148.9,3559520
2026-02-11 12:15:00,149.3,149.95,134.6,138.75,1939180
2026-02-11 12:30:00,138.65,142.5,105.7,115.9,3980840
2026-02-11 12:45:00,114.55,125.1,108.2,118.45,2960380
2026-02-11 13:00:00,118.65,119.95,106.2,113.8,2459760
2026-02-11 13:15:00,114.9,129.6,109.55,129.0,2702900
2026-02-11 13:30:00,129.85,159.2,124.25,140.55,4846060
2026-02-11 13:45:00,141.3,145.5,108.05,111.1,3944440
2026-02-11 14:00:00,111.55,139.4,111.2,138.7,3072120
2026-02-11 14:15:00,139.15,152.85,118.95,122.0,4724760
2026-02-11 14:30:00,121.4,133.4,115.95,128.35,2915500
2026-02-11 14:45:00,129.7,136.9,122.05,127.2,2789180
2026-02-11 15:00:00,131.15,147.2,125.05,133.4,3553260
2026-02-11 15:15:00,133.75,139.05,121.0,122.05,2810940
